sep=,
"name","ranking","constituency","party","score","won","lost","image"
"Pauline Latham","501","Mid Derbyshire","Conservative","1386","23275","32258","http://sexymp.co.uk/mp/349.jpg"
"Gerry Sutcliffe","502","Bradford South","Labour","1445","2280","3392","http://sexymp.co.uk/mp/573.jpg"
"Andrew Tyrie","503","Chichester","Conservative","1422","2131","3084","http://sexymp.co.uk/mp/595.jpg"
"William McCrea","504","South Antrim","Democratic Unionist","1437","2282","3376","http://sexymp.co.uk/mp/398.jpg"
"Pat Glass","505","North West Durham","Labour","1318","24148","30828","http://sexymp.co.uk/mp/227.jpg"
"David Crausby","506","Bolton North East","Labour","1458","2243","3414","http://sexymp.co.uk/mp/129.jpg"
"Mike Hancock","507","Portsmouth South","Liberal Democrat","1459","2260","3448","http://sexymp.co.uk/mp/260.jpg"
"Dan Rogerson","508","North Cornwall","Liberal Democrat","1516","2126","3452","http://sexymp.co.uk/mp/513.jpg"
"Th!!r!!se Coffey","509","Suffolk Coastal","Conservative","1414","22717","33003","http://sexymp.co.uk/mp/120.jpg"
"Diane Abbott","510","Hackney North and Stoke Newington","Labour","1353","23824","32162","http://sexymp.co.uk/mp/2.jpg"
"Gerald Howarth","511","Aldershot","Conservative","1480","2051","3230","http://sexymp.co.uk/mp/301.jpg"
"Tessa Jowell","512","Dulwich and West Norwood","Labour","1413","22619","32960","http://sexymp.co.uk/mp/331.jpg"
"Peter Tapsel","513","Louth and Horncastle","Conservative","1485","2094","3313","http://sexymp.co.uk/mp/580.jpg"
"Harriet Harman","514","Camberwell and Peckham","Labour","1177","27849","29214","http://sexymp.co.uk/mp/263.jpg"
"John Thurso","515","Caithness, Sutherland and Easter Ross","Liberal Democrat","1445","2359","3590","http://sexymp.co.uk/mp/584.jpg"
"David Heath","516","Somerton and Frome","Liberal Democrat","1491","2270","3669","http://sexymp.co.uk/mp/275.jpg"
"Paul Goggins","517","Wythenshawe and Sale East","Labour","1407","2242","3298","http://sexymp.co.uk/mp/231.jpg"
"Jon Trickett","518","Hemsworth","Labour","1370","2336","3319","http://sexymp.co.uk/mp/589.jpg"
"Angela Smith","519","Penistone and Stocksbridge","Labour","1427","21106","32270","http://sexymp.co.uk/mp/547.jpg"
"Richard Shepherd","520","Aldridge-Brownhills","Conservative","1492","2071","3425","http://sexymp.co.uk/mp/536.jpg"
"Oliver Colville","521","Plymouth, Sutton and Devonport","Conservative","1431","2127","3317","http://sexymp.co.uk/mp/122.jpg"
"Patrick McClaughlin","522","Derbyshire Dales","Conservative","1436","2065","3253","http://sexymp.co.uk/mp/410.jpg"
"Bill Esterson","523","Sefton Central","Labour","1540","2129","3757","http://sexymp.co.uk/mp/188.jpg"
"Chi Onwurah","524","Newcastle upon Tyne Central","Labour","1363","22032","31926","http://sexymp.co.uk/mp/463.jpg"
"Nick Raynsford","525","Greenwich and Woolwich","Labour","1528","2064","3601","http://sexymp.co.uk/mp/494.jpg"
"Martin Caton","526","Gower","Labour","1548","1993","3558","http://sexymp.co.uk/mp/106.jpg"
"Jim Sheridan","527","Paisley and Renfrewshire North","Labour","1376","2382","3513","http://sexymp.co.uk/mp/537.jpg"
"Mike Weir","528","Angus","Scottish National Party","1446","2173","3480","http://sexymp.co.uk/mp/615.jpg"
"Joan Walley","529","Stoke-on-Trent North","Labour","1375","21545","31947","http://sexymp.co.uk/mp/607.jpg"
"Dave Watts","530","St Helens North","Labour","1405","2277","3502","http://sexymp.co.uk/mp/612.jpg"
"Adrian Sanders","531","Torbay","Liberal Democrat","1424","2123","3343","http://sexymp.co.uk/mp/524.jpg"
"Ann Clwyd","532","Cynon Valley","Labour","1329","22430","31526","http://sexymp.co.uk/mp/117.jpg"
"Andrew Love","533","Edmonton","Labour Co-operative","1450","2124","3452","http://sexymp.co.uk/mp/375.jpg"
"Pat McFadden","534","Wolverhampton South East","Labour","1440","2192","3525","http://sexymp.co.uk/mp/402.jpg"
"Ann McKechin","535","Glasgow North","Labour","1342","21987","31506","http://sexymp.co.uk/mp/408.jpg"
"Richard Harrington","536","Watford","Conservative","1442","2060","3330","http://sexymp.co.uk/mp/265.jpg"
"Ian Davidson","537","Glasgow South West","Labour Co-operative","1441","2171","3522","http://sexymp.co.uk/mp/145.jpg"
"Marsha Singh","538","Bradford West","Labour","1519","2098","3733","http://sexymp.co.uk/mp/542.jpg"
"Michael Fabricant","539","Lichfield","Conservative","1410","2049","3253","http://sexymp.co.uk/mp/195.jpg"
"Madeleine Moon","540","Bridgend","Labour","1357","21444","31965","http://sexymp.co.uk/mp/428.jpg"
"Linda Riordin","541","Halifax","Labour Co-operative","1299","22956","31722","http://sexymp.co.uk/mp/505.jpg"
"Heather Wheeler","542","South Derbyshire","Conservative","1556","20043","37203","http://sexymp.co.uk/mp/617.jpg"
"Gerald Kaufman","543","Manchester, Gorton","Labour","1382","2449","3778","http://sexymp.co.uk/mp/333.jpg"
"Shaun Woodward","544","St Helens South and Whiston","Labour","1411","2281","3638","http://sexymp.co.uk/mp/642.jpg"
"David Evennett","545","Bexleyheath and Crayford","Conservative","1447","1959","3263","http://sexymp.co.uk/mp/194.jpg"
"Gordon Banks","546","Ochil and South Perthshire","Labour","1503","2054","3638","http://sexymp.co.uk/mp/28.jpg"
"Naomi Long","547","Belfast East","Alliance","1384","21676","33822","http://sexymp.co.uk/mp/371.jpg"
"George Mudie","548","Leeds East","Labour","1407","2213","3542","http://sexymp.co.uk/mp/440.jpg"
"Nia Griffith","549","Llanelli","Labour","1415","2158","3510","http://sexymp.co.uk/mp/246.jpg"
"Caroline Lucas","550","Brighton, Pavilion","Green Party","1295","24756","34733","http://sexymp.co.uk/mp/376.jpg"
"Frank Dobson","551","Holborn and St Pancras","Labour","1331","2452","3626","http://sexymp.co.uk/mp/157.jpg"
"Eric Pickles","552","Brentwood and Ongar","Conservative","1431","2166","3618","http://sexymp.co.uk/mp/483.jpg"
"Meg Munn","553","Sheffield, Heeley","Labour Co-operative","1365","21133","32808","http://sexymp.co.uk/mp/443.jpg"
"Richard Burden","554","Birmingham, Northfield","Labour","1454","2013","3462","http://sexymp.co.uk/mp/84.jpg"
"Paul Flynn","555","Newport West","Labour","1480","2125","3761","http://sexymp.co.uk/mp/205.jpg"
"Alan Haselhurst","556","Saffron Walden","Conservative","1461","1963","3407","http://sexymp.co.uk/mp/270.jpg"
"Julian Lewis","557","New Forest East","Conservative","1371","2198","3454","http://sexymp.co.uk/mp/364.jpg"
"Denis MackShane","558","Rotherham","Labour","1468","2176","3828","http://sexymp.co.uk/mp/382.jpg"
"Norman Lamb","559","North Norfolk","Liberal Democrat","1388","2097","3389","http://sexymp.co.uk/mp/345.jpg"
"Jim Dobbin","560","Heywood and Middleton","Labour Co-operative","1477","2031","3678","http://sexymp.co.uk/mp/156.jpg"
"Nigel Mills","561","Amber Valley","Conservative","1448","1934","3403","http://sexymp.co.uk/mp/424.jpg"
"Shailesh Vara","562","North West Cambridgeshire","Conservative","1493","1847","3438","http://sexymp.co.uk/mp/599.jpg"
"Ian Mearns","563","Gateshead","Labour","1505","1915","3622","http://sexymp.co.uk/mp/415.jpg"
"Malcom Rifkind","564","Kensington","Conservative","1412","1912","3279","http://sexymp.co.uk/mp/504.jpg"
"George Howarth","565","Knowsley","Labour","1456","2305","4204","http://sexymp.co.uk/mp/300.jpg"
"Keith Vaz","566","Leicester East","Labour","1365","2443","4016","http://sexymp.co.uk/mp/600.jpg"
"Chris Ruane","567","Vale of Clwyd","Labour","1428","2014","3590","http://sexymp.co.uk/mp/518.jpg"
"Stephen Pound","568","Ealing North","Labour","1434","2066","3726","http://sexymp.co.uk/mp/486.jpg"
"Brian Binley","569","Northampton South","Conservative","1398","1992","3459","http://sexymp.co.uk/mp/50.jpg"
"Frank Roy","570","Motherwell and Wishaw","Labour","1389","2106","3615","http://sexymp.co.uk/mp/516.jpg"
"Richard Ottaway","571","Croydon South","Conservative","1533","1791","3592","http://sexymp.co.uk/mp/467.jpg"
"Mark Lazarowicz","572","Edinburgh North and Leith","Labour Co-operative","1524","1929","3846","http://sexymp.co.uk/mp/352.jpg"
"Helen Goodman","573","Bishop Auckland","Labour","1373","19950","33972","http://sexymp.co.uk/mp/233.jpg"
"Alan Meale","574","Mansfield","Labour","1492","1892","3664","http://sexymp.co.uk/mp/414.jpg"
"Conor Murphy","575","Newry and Armagh","Sinn Fein","1514","1944","3854","http://sexymp.co.uk/mp/445.jpg"
"Michael Meacher","576","Oldham West and Royton","Labour","1436","2069","3795","http://sexymp.co.uk/mp/413.jpg"
"David Tredinnick","577","Bosworth","Conservative","1359","2005","3369","http://sexymp.co.uk/mp/588.jpg"
"Liam Byrne","578","Birmingham, Hodge Hill","Labour","1453","2080","3883","http://sexymp.co.uk/mp/94.jpg"
"Tony Cunningham","579","Workington","Labour","1437","2006","3693","http://sexymp.co.uk/mp/138.jpg"
"Jim Dowd","580","Lewisham West and Penge","Labour","1411","1985","3560","http://sexymp.co.uk/mp/166.jpg"
"Julie Hilling","581","Bolton West","Labour","1380","19699","34165","http://sexymp.co.uk/mp/286.jpg"
"Stuart Bell","582","Middlesbrough","Labour","1488","1710","3359","http://sexymp.co.uk/mp/39.jpg"
"Patrick Mercer","583","Newark","Conservative","1410","1926","3486","http://sexymp.co.uk/mp/417.jpg"
"Alan Whitehead","584","Southampton, Test","Labour","1508","1886","3776","http://sexymp.co.uk/mp/620.jpg"
"Vernon Coaker","585","Gedling","Labour","1312","2205","3583","http://sexymp.co.uk/mp/118.jpg"
"Stephem Hammond","586","Wimbledon","Conservative","1374","1942","3391","http://sexymp.co.uk/mp/258.jpg"
"John Stanley","587","Tonbridge and Malling","Conservative","1413","1980","3610","http://sexymp.co.uk/mp/559.jpg"
"Alistair Burt","588","North East Bedfordshire","Conservative","1428","1928","3573","http://sexymp.co.uk/mp/91.jpg"
"Wayne David","589","Caerphilly","Labour","1455","1983","3795","http://sexymp.co.uk/mp/144.jpg"
"William Cash","590","Stone","Conservative","1374","1980","3520","http://sexymp.co.uk/mp/105.jpg"
"David Heyes","591","Ashton-under-Lyne","Labour","1502","1875","3809","http://sexymp.co.uk/mp/284.jpg"
"Bob Blackman","592","Harrow East","Conservative","1532","2494","5220","http://sexymp.co.uk/mp/52.jpg"
"Gordon Henderson","593","Sittingbourne and Sheppey","Conservative","1375","1861","3314","http://sexymp.co.uk/mp/278.jpg"
"Martin McGuinness","594","Mid Ulster","Sinn Fein","1327","2136","3604","http://sexymp.co.uk/mp/405.jpg"
"Anne McGuire","595","Stirling","Labour","1363","19754","34938","http://sexymp.co.uk/mp/406.jpg"
"Steve Webb","596","Thornbury and Yate","Liberal Democrat","1366","2063","3694","http://sexymp.co.uk/mp/614.jpg"
"Margaret Beckett","597","Derby South","Labour","1449","18989","37664","http://sexymp.co.uk/mp/36.jpg"
"Richard Bacon","598","South Norfolk","Conservative","1339","1949","3446","http://sexymp.co.uk/mp/19.jpg"
"Vince Cable","599","Twickenham","Liberal Democrat","1309","2338","3991","http://sexymp.co.uk/mp/95.jpg"
"Nick Harvey","600","North Devon","Liberal Democrat","1412","1871","3605","http://sexymp.co.uk/mp/269.jpg"
"Gordon Birtwistle","601","Burnley","Liberal Democrat","1458","1841","3728","http://sexymp.co.uk/mp/51.jpg"
"Alan Beith","602","Berwick-upon-Tweed","Liberal Democrat","1486","1837","3833","http://sexymp.co.uk/mp/38.jpg"
"Bob Russell","603","Colchester","Liberal Democrat","1445","1880","3799","http://sexymp.co.uk/mp/522.jpg"
"Roger Godsiff","604","Birmingham, Hall Green","Labour","1404","1988","3880","http://sexymp.co.uk/mp/230.jpg"
"Glanda Jackson","605","Hampstead and Kilburn","Labour","1428","18441","36836","http://sexymp.co.uk/mp/312.jpg"
"Andrew Miller","606","Ellesmere Port and Neston","Labour","1419","1999","3961","http://sexymp.co.uk/mp/422.jpg"
"Virendra Sharma","607","Ealing, Southall","Labour","1353","2045","3772","http://sexymp.co.uk/mp/533.jpg"
"Hywel Francis","608","Aberavon","Labour","1434","1948","3927","http://sexymp.co.uk/mp/209.jpg"
"Ian Lucas","609","Wrexham","Labour","1327","2002","3601","http://sexymp.co.uk/mp/377.jpg"
"Jim Shannon","610","Strangford","Democratic Unionist","1451","1917","3956","http://sexymp.co.uk/mp/530.jpg"
"Sandra Osborne","611","Ayr, Carrick and Cumnock","Labour","1413","18864","37536","http://sexymp.co.uk/mp/466.jpg"
"Jack Dromey","612","Birmingham, Erdington","Labour","1304","2244","4020","http://sexymp.co.uk/mp/170.jpg"
"Grahame Morris","613","Easington","Labour","1436","1819","3779","http://sexymp.co.uk/mp/436.jpg"
"Robert Smith","614","West Aberdeenshire and Kincardine","Liberal Democrat","1387","1869","3688","http://sexymp.co.uk/mp/553.jpg"
"Tom Watson","615","West Bromwich East","Labour","1395","2050","4106","http://sexymp.co.uk/mp/611.jpg"
"Anne Begg","616","Aberdeen South","Labour","1380","18734","37041","http://sexymp.co.uk/mp/37.jpg"
"Sammy Wilson","617","East Antrim","Democratic Unionist","1354","1953","3748","http://sexymp.co.uk/mp/635.jpg"
"Julian Huppart","618","Cambridge","Liberal Democrat","1479","1769","3887","http://sexymp.co.uk/mp/309.jpg"
"Fiona MacTaggart","619","Slough","Labour","1389","18701","37422","http://sexymp.co.uk/mp/383.jpg"
"Menzies Campbell","620","North East Fife","Liberal Democrat","1260","2234","3867","http://sexymp.co.uk/mp/100.jpg"
"Ian Swales","621","Redcar","Liberal Democrat","1253","2047","3519","http://sexymp.co.uk/mp/574.jpg"
"David Willetts","622","Havant","Conservative","1417","1770","3671","http://sexymp.co.uk/mp/625.jpg"
"John Robertson","623","Glasgow North West","Labour","1402","1974","4040","http://sexymp.co.uk/mp/510.jpg"
"George Young","624","North West Hampshire","Conservative","1346","1927","3707","http://sexymp.co.uk/mp/648.jpg"
"Rosie Cooper","625","West Lancashire","Labour","1332","18925","36276","http://sexymp.co.uk/mp/124.jpg"
"Keith Simpson","626","Broadland","Conservative","1339","1830","3542","http://sexymp.co.uk/mp/541.jpg"
"Mike Gapes","627","Ilford South","Labour Co-operative","1438","1837","3999","http://sexymp.co.uk/mp/216.jpg"
"Oliver Letwin","628","West Dorset","Conservative","1352","1804","3586","http://sexymp.co.uk/mp/361.jpg"
"David Winnick","629","Walsall North","Labour","1451","1871","4129","http://sexymp.co.uk/mp/636.jpg"
"Paul Burstow","630","Sutton and Cheam","Liberal Democrat","1319","1841","3584","http://sexymp.co.uk/mp/90.jpg"
"John Pugh","631","Southport","Liberal Democrat","1382","1829","3879","http://sexymp.co.uk/mp/490.jpg"
"Annette Brooke","632","Mid Dorset and North Poole","Liberal Democrat","1366","17587","37647","http://sexymp.co.uk/mp/73.jpg"
"Don Foster","633","Bath","Liberal Democrat","1465","1656","3931","http://sexymp.co.uk/mp/206.jpg"
"James Arbuthnot","634","North East Hampshire","Conservative","1348","1805","3811","http://sexymp.co.uk/mp/16.jpg"
"Alan Reid","635","Argyll and Bute","Liberal Democrat","1386","1806","3973","http://sexymp.co.uk/mp/501.jpg"
"Andrew Stunel","636","Hazel Grove","Liberal Democrat","1312","1842","3833","http://sexymp.co.uk/mp/571.jpg"
"Hywell Williams","637","Arfon","Plaid Cymru","1335","1837","3925","http://sexymp.co.uk/mp/626.jpg"
"Alun Michael","638","Cardiff South and Penarth","Labour Co-operative","1397","1792","4135","http://sexymp.co.uk/mp/419.jpg"
"Pat Doherty","639","West Tyrone","Sinn Fein","1446","1699","4205","http://sexymp.co.uk/mp/160.jpg"
"Michael Connarty","640","Linlithgow and East Falkirk","Conservative","1300","1867","3984","http://sexymp.co.uk/mp/123.jpg"
"Lindsay Roy","641","Glenrothes","Labour","1420","1749","4231","http://sexymp.co.uk/mp/517.jpg"
"Norman Baker","642","Lewes","Liberal Democrat","1359","1733","3978","http://sexymp.co.uk/mp/23.jpg"
"Sheila Gilmore","643","Edinburgh East","Labour","1322","17469","38962","http://sexymp.co.uk/mp/226.jpg"
"John Healey","644","Wentworth and Dearne","Labour","1309","1853","4088","http://sexymp.co.uk/mp/274.jpg"
"Roger Williams","645","Brecon and Radnorshire","Liberal Democrat","1316","1707","4003","http://sexymp.co.uk/mp/628.jpg"
"Angus Robertson","646","Moray","Scottish National Party","1288","1729","3992","http://sexymp.co.uk/mp/508.jpg"
"Ronnie Campbell","647","Blyth Valley","Labour","1308","1729","4285","http://sexymp.co.uk/mp/101.jpg"
"Steve McCabe","648","Birmingham, Selly Oak","Labour","1601","3089","15081","http://sexymp.co.uk/mp/392.jpg"
