sep=,
"name","ranking","constituency","party","score","won","lost","image"
"Cheryl Gillan","101","Chesham and Amersham","Conservative","1654","28371","27171","http://sexymp.co.uk/mp/225.jpg"
"Kevan Jones","102","North Durham","Labour","1585","2952","2585","http://sexymp.co.uk/mp/328.jpg"
"Mike Wood","103","Batley and Spen","Labour","1596","2948","2617","http://sexymp.co.uk/mp/640.jpg"
"Clive Efford","104","Eltham","Labour","1519","3293","2637","http://sexymp.co.uk/mp/180.jpg"
"Tobias Ellwood","105","Bournemouth East","Conservative","1374","3696","2321","http://sexymp.co.uk/mp/185.jpg"
"John Whittingdale","106","Maldon","Conservative","1556","2991","2521","http://sexymp.co.uk/mp/622.jpg"
"George Freeman","107","Mid Norfolk","Conservative","1569","2983","2566","http://sexymp.co.uk/mp/211.jpg"
"Kwasi Kwarteng","108","Spelthorne","Conservative","1596","2950","2637","http://sexymp.co.uk/mp/343.jpg"
"Angus MacNiel","109","Na h-Eileanan an Iar","Scottish National Party","1517","3338","2668","http://sexymp.co.uk/mp/381.jpg"
"Iain Stewart","110","Milton Keynes South","Conservative","1485","3201","2440","http://sexymp.co.uk/mp/563.jpg"
"Edward Timson","111","Crewe and Nantwich","Conservative","1393","3331","2175","http://sexymp.co.uk/mp/586.jpg"
"Kevin Barron","112","Rother Valley","Labour","1677","2882","2859","http://sexymp.co.uk/mp/32.jpg"
"Andrew Murrison","113","South West Wiltshire","Conservative","1513","2974","2371","http://sexymp.co.uk/mp/450.jpg"
"Justin Tomlinson","114","North Swindon","Conservative","1458","3124","2284","http://sexymp.co.uk/mp/587.jpg"
"Graham Brady","115","Altrincham and Sale West","Conservative","1508","3094","2449","http://sexymp.co.uk/mp/65.jpg"
"David Burrowes","116","Enfield, Southgate","Conservative","1453","3222","2335","http://sexymp.co.uk/mp/89.jpg"
"Nick Clegg","117","Sheffield, Hallam","Liberal Democrat","1519","3505","2822","http://sexymp.co.uk/mp/115.jpg"
"Steve Baker","118","Wycombe","Conservative","1387","3572","2318","http://sexymp.co.uk/mp/24.jpg"
"David Nuttal","119","Bury North","Conservative","1515","3043","2441","http://sexymp.co.uk/mp/458.jpg"
"Peter Bottomley","120","Worthing West","Conservative","1567","3012","2601","http://sexymp.co.uk/mp/62.jpg"
"Malcom Wicks","121","Croydon North","Labour","1508","2797","2220","http://sexymp.co.uk/mp/623.jpg"
"Jonathan Djanogly","122","Huntingdon","Conservative","1536","2946","2443","http://sexymp.co.uk/mp/155.jpg"
"Jackie Doyle-Price","123","Thurrock","Conservative","1630","28033","26335","http://sexymp.co.uk/mp/168.jpg"
"Matthew Hancock","124","West Suffolk","Conservative","1427","3131","2193","http://sexymp.co.uk/mp/259.jpg"
"Damian hinds","125","East Hampshire","Conservative","1430","3160","2223","http://sexymp.co.uk/mp/287.jpg"
"David Laws","126","Yeovil","Liberal Democrat","1454","3529","2586","http://sexymp.co.uk/mp/351.jpg"
"Christopher Pincher","127","Tamworth","Conservative","1466","3120","2333","http://sexymp.co.uk/mp/484.jpg"
"Mark Spencer","128","Sherwood","Conservative","1525","3098","2531","http://sexymp.co.uk/mp/558.jpg"
"Stephen Crabb","129","Preseli Pembrokeshire","Conservative","1486","3181","2463","http://sexymp.co.uk/mp/128.jpg"
"John Cryer","130","Leyton and Wanstead","Labour","1662","2816","2772","http://sexymp.co.uk/mp/135.jpg"
"George Eustice","131","Camborne and Redruth","Conservative","1368","3518","2223","http://sexymp.co.uk/mp/189.jpg"
"Philip Hammond","132","Runnymede and Weybridge","Conservative","1557","2949","2527","http://sexymp.co.uk/mp/257.jpg"
"Stewart Jackson","133","Peterborough","Conservative","1714","2657","2779","http://sexymp.co.uk/mp/313.jpg"
"David Anderson","134","Blaydon","Labour","1777","2669","2995","http://sexymp.co.uk/mp/14.jpg"
"Richard Fuller","135","Bedford","Conservative","1425","3439","2417","http://sexymp.co.uk/mp/214.jpg"
"Jim Murphy","136","East Renfrewshire","Labour","1576","3166","2796","http://sexymp.co.uk/mp/446.jpg"
"Sam Gyimah","137","East Surrey","Conservative","1402","3391","2297","http://sexymp.co.uk/mp/250.jpg"
"Fabian Hamilton","138","Leeds North East","Labour","1693","2813","2886","http://sexymp.co.uk/mp/256.jpg"
"Gareth Johnson","139","Dartford","Conservative","1577","2993","2654","http://sexymp.co.uk/mp/322.jpg"
"Gordon Marsden","140","Blackpool South","Labour","1531","3136","2608","http://sexymp.co.uk/mp/388.jpg"
"James Morris","141","Halesowen and Rowley Regis","Conservative","1382","3581","2337","http://sexymp.co.uk/mp/437.jpg"
"Daniel Poulter","142","Central Suffolk and North Ipswich","Conservative","1457","3136","2332","http://sexymp.co.uk/mp/485.jpg"
"Bill Wiggin","143","North Herefordshire","Conservative","1520","3177","2596","http://sexymp.co.uk/mp/624.jpg"
"Nadhim Zawahi","144","Stratford-on-Avon","Conservative","1545","3032","2571","http://sexymp.co.uk/mp/649.jpg"
"Mick Crockart","145","Edinburgh West","Liberal Democrat","1711","2751","2886","http://sexymp.co.uk/mp/132.jpg"
"Ben Gummer","146","Ipswich","Conservative","1436","3414","2459","http://sexymp.co.uk/mp/248.jpg"
"George Hollinberry","147","Meon Valley","Conservative","1425","3307","2336","http://sexymp.co.uk/mp/292.jpg"
"Stewart Hosie","148","Dundee East","Scottish National Party","1613","2952","2749","http://sexymp.co.uk/mp/299.jpg"
"Tami Mark","149","Alyn and Deeside","Labour","1551","3055","2623","http://sexymp.co.uk/mp/579.jpg"
"Iain Wright","150","Hartlepool","Labour","1555","3156","2723","http://sexymp.co.uk/mp/644.jpg"
"Mark Garnier","151","Wyre Forest","Conservative","1432","3361","2407","http://sexymp.co.uk/mp/219.jpg"
"Alan Johnson","152","Kingston upon Hull West and Hessle","Labour","1585","3066","2759","http://sexymp.co.uk/mp/320.jpg"
"David Ruffley","153","Bury St Edmunds","Conservative","1360","3370","2123","http://sexymp.co.uk/mp/521.jpg"
"Alistair Darling","154","Edinburgh South West","Labour","1563","3044","2665","http://sexymp.co.uk/mp/142.jpg"
"Andrew Griffiths","155","Burton","Conservative","1413","3210","2233","http://sexymp.co.uk/mp/247.jpg"
"Bernard Jenkin","156","Harwich and North Essex","Conservative","1430","3262","2339","http://sexymp.co.uk/mp/319.jpg"
"John Leech","157","Manchester, Withington","Liberal Democrat","1539","3124","2649","http://sexymp.co.uk/mp/356.jpg"
"Owen Smith","158","Pontypridd","Labour","1498","3141","2505","http://sexymp.co.uk/mp/552.jpg"
"Robin Walker","159","Worcester","Conservative","1340","3646","2217","http://sexymp.co.uk/mp/605.jpg"
"Robert Flello","160","Stoke-on-Trent South","Labour","1571","3015","2677","http://sexymp.co.uk/mp/203.jpg"
"Hugh Bayley","161","York Central","Labour","1620","2942","2787","http://sexymp.co.uk/mp/34.jpg"
"Rory Stewart","162","Penrith and The Border","Conservative","1488","3082","2431","http://sexymp.co.uk/mp/564.jpg"
"Derek Twigg","163","Halton","Labour","1552","3079","2666","http://sexymp.co.uk/mp/593.jpg"
"Greg Hands","164","Chelsea and Fulham","Conservative","1470","3228","2480","http://sexymp.co.uk/mp/261.jpg"
"Sadiq Khan","165","Tooting","Labour","1750","2912","3220","http://sexymp.co.uk/mp/340.jpg"
"Ian Murray","166","Edinburgh South","Labour","1563","3030","2672","http://sexymp.co.uk/mp/448.jpg"
"Edward Garnier","167","Harborough","Conservative","1523","2955","2470","http://sexymp.co.uk/mp/218.jpg"
"David Lammy","168","Tottenham","Labour","1535","3201","2721","http://sexymp.co.uk/mp/346.jpg"
"David Ruttley","169","Macclesfield","Conservative","1478","3128","2440","http://sexymp.co.uk/mp/523.jpg"
"Theresa May","170","Maidenhead","Conservative","1564","31231","27721","http://sexymp.co.uk/mp/390.jpg"
"John Stevenson","171","Carlisle","Conservative","1646","2882","2841","http://sexymp.co.uk/mp/561.jpg"
"Alun Cairns","172","Vale of Glamorgan","Conservative","1425","3095","2228","http://sexymp.co.uk/mp/96.jpg"
"Alan Campbell","173","Tynemouth","Labour","1648","2799","2762","http://sexymp.co.uk/mp/98.jpg"
"Gavin Williamson","174","South Staffordshire","Conservative","1379","3206","2136","http://sexymp.co.uk/mp/631.jpg"
"Stephen Phillips","175","Sleaford and North Hykeham","Conservative","1482","3163","2504","http://sexymp.co.uk/mp/481.jpg"
"John Woodcock","176","Barrow and Furness","Labour Co-operative","1529","3139","2664","http://sexymp.co.uk/mp/641.jpg"
"Conor Burns","177","Bournemouth West","Conservative","1654","2788","2787","http://sexymp.co.uk/mp/87.jpg"
"Barry Gardiner","178","Brent North","Labour","1596","3006","2805","http://sexymp.co.uk/mp/217.jpg"
"Charles Kennedy","179","Ross, Skye and Lochaber","Liberal Democrat","1550","2994","2633","http://sexymp.co.uk/mp/339.jpg"
"Tom Greatrix","180","Rutherglen and Hamilton West","Labour Co-operative","1515","3315","2779","http://sexymp.co.uk/mp/240.jpg"
"Craig Whittacker","181","Calder Valley","Conservative","1429","3074","2257","http://sexymp.co.uk/mp/621.jpg"
"Thomas Docherty","182","Dunfermline and West Fife","Labour","1613","2832","2720","http://sexymp.co.uk/mp/158.jpg"
"Adam Holloway","183","Gravesham","Conservative","1395","3194","2218","http://sexymp.co.uk/mp/294.jpg"
"Marcus Jones","184","Nuneaton","Conservative","1640","2713","2690","http://sexymp.co.uk/mp/329.jpg"
"Jessica Lee","185","Erewash","Conservative","1559","30369","27155","http://sexymp.co.uk/mp/354.jpg"
"Jesse Norman","186","Hereford and South Herefordshire","Conservative","1424","3578","2611","http://sexymp.co.uk/mp/457.jpg"
"George Osborne","187","Tatton","Conservative","1456","3641","2802","http://sexymp.co.uk/mp/465.jpg"
"Paul Farrelly","188","Newcastle-under-Lyme","Labour","1584","3035","2811","http://sexymp.co.uk/mp/197.jpg"
"Matthew Offord","189","Hendon","Conservative","1363","3801","2498","http://sexymp.co.uk/mp/461.jpg"
"Edward Davey","190","Kingston and Surbiton","Liberal Democrat","1620","2773","2701","http://sexymp.co.uk/mp/143.jpg"
"Michael Dugher","191","Barnsley East","Labour","1452","3307","2544","http://sexymp.co.uk/mp/172.jpg"
"Philip Dunne","192","Ludlow","Conservative","1514","2992","2527","http://sexymp.co.uk/mp/175.jpg"
"Michael Fallon","193","Sevenoaks","Conservative","1523","2898","2481","http://sexymp.co.uk/mp/196.jpg"
"Mark Simmonds","194","Boston and Skegness","Conservative","1408","3175","2269","http://sexymp.co.uk/mp/539.jpg"
"Stephen Dorrell","195","Charnwood","Conservative","1477","2981","2388","http://sexymp.co.uk/mp/164.jpg"
"Gavin Shuker","196","Luton South","Labour Co-operative","1547","3051","2705","http://sexymp.co.uk/mp/538.jpg"
"Julian Smith","197","Skipton and Ripon","Conservative","1426","3148","2326","http://sexymp.co.uk/mp/550.jpg"
"Sarah Teather","198","Brent Central","Liberal Democrat","1386","48648","33555","http://sexymp.co.uk/mp/581.jpg"
"Jeremy Corbyn","199","Islington North","Labour","1605","2962","2845","http://sexymp.co.uk/mp/126.jpg"
"Richard Graham","200","Gloucester","Conservative","1439","3316","2507","http://sexymp.co.uk/mp/236.jpg"
"Khalid Mahmood","201","Birmingham, Perry Barr","Labour","1549","2952","2628","http://sexymp.co.uk/mp/384.jpg"
"Clive Betts","202","Sheffield South East","Labour","1539","3102","2729","http://sexymp.co.uk/mp/48.jpg"
"Elizabeth Truss","203","South West Norfolk","Conservative","1417","39673","28958","http://sexymp.co.uk/mp/590.jpg"
"Frank Doran","204","Aberdeen North","Labour","1546","3104","2760","http://sexymp.co.uk/mp/163.jpg"
"Mark Lancaster","205","Milton Keynes North","Conservative","1373","3286","2228","http://sexymp.co.uk/mp/347.jpg"
"Jeremy Lefroy","206","Stafford","Conservative","1480","2951","2391","http://sexymp.co.uk/mp/357.jpg"
"John Mann","207","Bassetlaw","Labour","1502","3057","2559","http://sexymp.co.uk/mp/387.jpg"
"Andrew Rosindell","208","Romford","Conservative","1488","3001","2456","http://sexymp.co.uk/mp/514.jpg"
"Karl Turner","209","Kingston upon Hull East","Labour","1477","3465","2790","http://sexymp.co.uk/mp/592.jpg"
"Nick de Bois","210","Enfield North","Conservative","1571","2735","2523","http://sexymp.co.uk/mp/151.jpg"
"Liam Fox","211","North Somerset","Conservative","1452","3293","2556","http://sexymp.co.uk/mp/208.jpg"
"Mark Francois","212","Rayleigh and Wickford","Conservative","1438","3034","2303","http://sexymp.co.uk/mp/210.jpg"
"Andrew Jones","213","Harrogate and Knaresborough","Conservative","1398","3117","2214","http://sexymp.co.uk/mp/324..jpg"
"Michael Moore","214","Berwickshire, Roxburgh and Selkirk","Liberal Democrat","1481","3226","2621","http://sexymp.co.uk/mp/429.jpg"
"Andrew Smith","215","Oxford East","Labour","1597","2859","2730","http://sexymp.co.uk/mp/546.jpg"
"Douglas Alexander","216","Paisley and Renfrewshire South","Labour","1416","3980","2921","http://sexymp.co.uk/mp/9.jpg"
"David Jones","217","Clwyd West","Conservative","1521","3044","2637","http://sexymp.co.uk/mp/325.jpg"
"Desmond Swayne","218","New Forest West","Conservative","1489","3034","2514","http://sexymp.co.uk/mp/575.jpg"
"David Lidington","219","Aylesbury","Conservative","1508","2909","2487","http://sexymp.co.uk/mp/366.jpg"
"Michael McCann","220","East Kilbride, Strathaven and Lesmahagow","Labour","1529","3028","2669","http://sexymp.co.uk/mp/393.jpg"
"Toby Perkins","221","Chesterfield","Labour","1492","3106","2593","http://sexymp.co.uk/mp/479.jpg"
"Andrew George","222","St Ives","Liberal Democrat","1516","2930","2542","http://sexymp.co.uk/mp/221.jpg"
"Charles Walker","223","Broxbourne","Conservative","1380","3588","2509","http://sexymp.co.uk/mp/604.jpg"
"Stephen Barclay","224","North East Cambridgeshire","Conservative","1318","3477","2173","http://sexymp.co.uk/mp/29.jpg"
"Chris Huhne","225","Eastleigh","Liberal Democrat","1520","3021","2639","http://sexymp.co.uk/mp/305.jpg"
"Oliver Heald","226","North East Hertfordshire","Conservative","1453","3003","2386","http://sexymp.co.uk/mp/273.jpg"
"Phillip Lee","227","Bracknell","Conservative","1387","3232","2299","http://sexymp.co.uk/mp/355.jpg"
"Peter Lilley","228","Hitchin and Harpenden","Conservative","1489","3066","2569","http://sexymp.co.uk/mp/367.jpg"
"John McDonnell","229","Hayes and Harlington","Labour","1524","3168","2792","http://sexymp.co.uk/mp/401.jpg"
"Greg Mulholland","230","Leeds North West","Liberal Democrat","1579","2764","2625","http://sexymp.co.uk/mp/441.jpg"
"Frank Field","231","Birkenhead","Labour","1505","2916","2506","http://sexymp.co.uk/mp/200.jpg"
"Roger Gale","232","North Thanet","Conservative","1636","2724","2789","http://sexymp.co.uk/mp/215.jpg"
"Mark Reckless","233","Rochester and Strood","Conservative","1522","2923","2582","http://sexymp.co.uk/mp/495.jpg"
"Jim Cunningham","234","Coventry South","Labour","1470","3431","2819","http://sexymp.co.uk/mp/137.jpg"
"Hilary Benn","235","Leeds Central","Labour","1472","3152","2594","http://sexymp.co.uk/mp/41.jpg"
"Edward Vaisey","236","Wantage","Conservative","1333","3605","2348","http://sexymp.co.uk/mp/598.jpg"
"Simon Wright","237","Norwich South","Liberal Democrat","1510","2940","2563","http://sexymp.co.uk/mp/646.jpg"
"James Clappison","238","Hertsmere","Conservative","1452","2980","2391","http://sexymp.co.uk/mp/110.jpg"
"Andrew Gwynne","239","Denton and Reddish","Labour","1526","3030","2707","http://sexymp.co.uk/mp/249.jpg"
"Alan Keen","240","Feltham and Heston","Labour Co-operative","1649","2908","3044","http://sexymp.co.uk/mp/336.jpg"
"Jonathan Lord","241","Woking","Conservative","1455","2984","2400","http://sexymp.co.uk/mp/373.jpg"
"John Penrose","242","Weston-super-Mare","Conservative","1418","3080","2338","http://sexymp.co.uk/mp/477.jpg"
"Jack Lopresti","243","Filton and Bradley Stoke","Conservative","1446","3068","2443","http://sexymp.co.uk/mp/372.jpg"
"Robert Buckland","244","South Swindon","Conservative","1439","2942","2318","http://sexymp.co.uk/mp/83.jpg"
"Heidi Alexander","245","Lewisham East","Labour","1358","41112","28336","http://sexymp.co.uk/mp/10.jpg"
"Robert Goodwill","246","Scarborough and Whitby","Conservative","1598","2865","2831","http://sexymp.co.uk/mp/234.jpg"
"Sajid Javid","247","Bromsgrove","Conservative","1495","2996","2574","http://sexymp.co.uk/mp/318.jpg"
"Jim McGovern","248","Dundee West","Labour","1649","2742","2879","http://sexymp.co.uk/mp/404.jpg"
"David Mundell","249","Dumfriesshire, Clydesdale and Tweeddale","Conservative","1527","2920","2626","http://sexymp.co.uk/mp/442.jpg"
"Andrew Percy","250","Brigg and Goole","Conservative","1514","2865","2533","http://sexymp.co.uk/mp/478.jpg"
