sep=,
"name","ranking","constituency","party","score","won","lost","image","gender","area_gss_code","area_id","area_mapit_name","country","life_exp_birth_male_years","life_exp_birth_male_rank","life_exp_birth_female_years","life_exp_birth_female_rank","life_exp_65_male_years","life_exp_65_male_rank","life_exp_65_female_years","life_exp_65_female_rank","match_type","matched_by"
"Jackie Doyle-Price","54","Thurrock","Conservative","1651","29064","26875","http://sexymp.co.uk/mp/168.jpg","F","E14000995","65919","Thurrock","England","79.2","203","82.4","249","17.9","266","20.4","280","covered_by","E06000034"
"Margot James","55","Stourbridge","Conservative","1612","31401","27615","http://sexymp.co.uk/mp/314.jpg","F","E14000976","65609","Stourbridge","England","78.9","222","83","195","18.4","215","21.2","180","covered_by","E08000027"
"Theresa May","56","Maidenhead","Conservative","1613","32260","28361","http://sexymp.co.uk/mp/390.jpg","F","E14000803","65901","Maidenhead","England","81.35","35","84.55","49.5","19.700000000000003","49.5","21.9","85","overlapped_by (calculated average)","E06000040,E06000041"
"George Eustice","57","Camborne and Redruth","Conservative","1411","3593","2321","http://sexymp.co.uk/mp/189.jpg","M","E14000616","65826","Camborne and Redruth","England","79.5","179","83.5","146","19","143","21.3","160","covered_by","E06000052"
"James Morris","58","Halesowen and Rowley Regis","Conservative","1426","3628","2417","http://sexymp.co.uk/mp/437.jpg","M","E14000722","65971","Halesowen and Rowley Regis","England","77.85","276","82.15","256.5","17.7","273.5","20.75","236.5","overlapped_by (calculated average)","E08000027,E08000028"
"Richard Fuller","59","Bedford","Conservative","1466","3495","2495","http://sexymp.co.uk/mp/214.jpg","M","E14000552","65561","Bedford","England","79.3","190","83.1","184","19","134","21.5","146","covered_by","E06000055"
"Mark Garnier","60","Wyre Forest","Conservative","1471","3448","2507","http://sexymp.co.uk/mp/219.jpg","M","E14001058","66078","Wyre Forest","England","79.2","206","83","196","18.8","172","21.1","186","covered_by","E07000239"
"Jeremy Hunt","61","South West Surrey","Conservative","1426","3742","2530","http://sexymp.co.uk/mp/306.jpg","M","E14000953","65678","South West Surrey","England","81.9","13","85.1","22","20.3","10","22.9","15","covered_by","E07000216"
"Mark Lancaster","62","Milton Keynes North","Conservative","1432","3346","2314","http://sexymp.co.uk/mp/347.jpg","M","E14000821","65953","Milton Keynes North","England","78.7","229","82.5","244","17.9","263","20.6","261","covered_by","E06000042"
"Eric Ollerenshaw","63","Lancaster and Fleetwood","Conservative","1101","16115","4860","http://sexymp.co.uk/mp/462.jpg","M","E14000776","65568","Lancaster and Fleetwood","England","77.80000000000001","287","82","279","18","256","20.75","240","overlapped_by (calculated average)","E07000121,E07000128"
