sep=,
"name","ranking","constituency","party","score","won","lost","image","gender","area_gss_code","area_id","area_mapit_name","country","life_exp_birth_male_years","life_exp_birth_male_rank","life_exp_birth_female_years","life_exp_birth_female_rank","life_exp_65_male_years","life_exp_65_male_rank","life_exp_65_female_years","life_exp_65_female_rank","match_type","matched_by"
"Toby Perkins","225","Chesterfield","Labour","1452","3205","2698","http://sexymp.co.uk/mp/479.jpg","M","E14000632","65980","Chesterfield","England","77.7","293","82.3","261","17.6","293","20.6","260","covered_by","E07000034"
"Justin Tomlinson","226","North Swindon","Conservative","1373","3180","2362","http://sexymp.co.uk/mp/587.jpg","M","E14000851","65760","North Swindon","England","79.3","196","82.7","227","18.5","204","20.9","216","covered_by","E06000030"
"Michael Elliss","227","Northampton North","Conservative","1397","3127","2423","http://sexymp.co.uk/mp/182.jpg","M","E14000861","66059","Northampton North","England","77.4","312","81.8","295","17.6","294","20.3","289","covered_by","E07000154"
"James Clappison","228","Hertsmere","Conservative","1424","3051","2473","http://sexymp.co.uk/mp/110.jpg","M","E14000745","65994","Hertsmere","England","80.7","78","83.5","144","19.8","33","21.6","130","covered_by","E07000098"
"Loraine Fullbrook","229","South Ribble","Conservative","1735","24872","30024","http://sexymp.co.uk/mp/213.jpg","F","E14000943","65951","South Ribble","England","79.26666666666667","191.66666666666666","82.39999999999999","250.33333333333334","18.5","197.66666666666666","20.566666666666666","255.33333333333334","overlapped_by (calculated average)","E07000118,E07000126,E07000127"
"Christopher Chope","230","Christchurch","Conservative","1551","2852","2780","http://sexymp.co.uk/mp/109.jpg","M","E14000638","65885","Christchurch","England","82.9","1","86.5","2","20.8","2","23.6","3","overlapped_by (calculated average)","E07000049"
"Andrew Lansley","231","South Cambridgeshire","Conservative","1424","3282","2671","http://sexymp.co.uk/mp/348.jpg","M","E14000934","65922","South Cambridgeshire","England","81.35","72","85.2","27.5","19.8","66","22.65","37","overlapped_by (calculated average)","E07000008,E07000012"
"Graeme Morris","232","Livingston","Labour","1595","2849","2939","http://sexymp.co.uk/mp/433.jpg","M","S14000044","14440","Livingston","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Mark Pritchard","233","The Wrekin","Conservative","1442","3116","2608","http://sexymp.co.uk/mp/489.jpg","M","E14000992","65977","The Wrekin","England","78.85","218","82.69999999999999","211","18.35","210","20.9","214.5","overlapped_by (calculated average)","E06000051,E06000020"
"Tom Brake","234","Carshalton and Wallington","Liberal Democrat","1446","3174","2669","http://sexymp.co.uk/mp/66.jpg","M","E14000621","65972","Carshalton and Wallington","England","80.5","95","84","103","19.1","120","21.6","126","covered_by","E09000029"
"Greg Clark","235","Tunbridge Wells","Conservative","1384","3195","2442","http://sexymp.co.uk/mp/111.jpg","M","E14001004","65660","Tunbridge Wells","England","81.4","30","85.1","24","19.8","38","22.5","33","covered_by","E07000116"
"Michael McCann","236","East Kilbride, Strathaven and Lesmahagow","Labour","1480","3111","2760","http://sexymp.co.uk/mp/393.jpg","M","S14000019","14416","East Kilbride, Strathaven and Lesmahagow","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Stephen OBrien","237","Eddisbury","Conservative","1469","2988","2611","http://sexymp.co.uk/mp/459.jpg","M","E14000686","65756","Eddisbury","England","79.80000000000001","149.5","83.1","191","18.9","153","21","211","overlapped_by (calculated average)","E06000049,E06000050"
"Iain Wright","238","Hartlepool","Labour","1467","3238","2819","http://sexymp.co.uk/mp/644.jpg","M","E14000733","65990","Hartlepool","England","77.4","315","81.5","308","17.3","318","20","310","covered_by","E06000001"
"Paul Murphy","239","Torfaen","Labour","1789","2534","3259","http://sexymp.co.uk/mp/447.jpg","M","W07000053","66104","Torfaen","Wales","77.6","304","82.1","273","17.4","314","20.2","301","covered_by","W06000020"
"Nick Clegg","240","Sheffield, Hallam","Liberal Democrat","1419","3570","2907","http://sexymp.co.uk/mp/115.jpg","M","E14000922","65741","Sheffield, Hallam","England","78.7","231","82.4","253","18","247","20.5","263","covered_by","E08000019"
"Andrew Bridgen","241","North West Leicestershire","Conservative","1508","3069","2849","http://sexymp.co.uk/mp/70.jpg","M","E14000858","65776","North West Leicestershire","England","79.4","186","83","199","18.6","196","21","209","covered_by","E07000134"
"Simon Danczuk","242","Rochdale","Labour","1456","3132","2705","http://sexymp.co.uk/mp/141.jpg","M","E14000897","65843","Rochdale","England","76.8","329","80.8","331","17.4","315","19.8","319","covered_by","E08000005"
"Barry Gardiner","243","Brent North","Labour","1507","3101","2882","http://sexymp.co.uk/mp/217.jpg","M","E14000592","65595","Brent North","England","79.9","145","84.5","59","19.2","105","22.4","36","covered_by","E09000005"
"Fabian Hamilton","244","Leeds North East","Labour","1573","2907","2948","http://sexymp.co.uk/mp/256.jpg","M","E14000779","65866","Leeds North East","England","78","272","82.1","272","17.7","292","20.3","291","covered_by","E08000035"
"Albert Owen","245","Ynys M!!n","Labour","1727","2606","3158","http://sexymp.co.uk/mp/468.jpg","M","W07000041","66115","Ynys Môn","Wales","78.5","245","83","204","18.2","236","21.4","158","covered_by","W06000001"
"Andy Burnham","246","Leigh","Labour","1427","3412","2825","http://sexymp.co.uk/mp/86.jpg","M","E14000785","65978","Leigh","England","77.4","317","80.8","330","17.2","326","19.3","334","covered_by","E08000010"
"Robert Flello","247","Stoke-on-Trent South","Labour","1474","3093","2753","http://sexymp.co.uk/mp/203.jpg","M","E14000974","65770","Stoke-on-Trent South","England","76.7","332","80.5","338","17.2","327","19.8","322","covered_by","E06000021"
"Paul Beresford","248","Mole Valley","Conservative","1444","3121","2655","http://sexymp.co.uk/mp/45.jpg","M","E14000824","65693","Mole Valley","England","81.9","11.5","85.25","18.5","20.1","17.5","22.6","25","overlapped_by (calculated average)","E07000209,E07000210"
"Bob Stewart","249","Beckenham","Conservative","1569","2798","2831","http://sexymp.co.uk/mp/562.jpg","M","E14000551","65725","Beckenham","England","81","51","84.5","51","19.6","62","21.9","84","covered_by","E09000006"
"Fiona Bruce","250","Congleton","Conservative","1751","24817","30928","http://sexymp.co.uk/mp/79.jpg","F","E14000646","65771","Congleton","England","80.4","99","83.4","167","19.2","108","21.2","182","covered_by","E06000049"
"Chris Kelly","251","Dudley South","Conservative","1266","3968","2479","http://sexymp.co.uk/mp/337.jpg","M","E14000672","66054","Dudley South","England","78.9","222","83","195","18.4","215","21.2","180","covered_by","E08000027"
"John Leech","252","Manchester, Withington","Liberal Democrat","1448","3183","2732","http://sexymp.co.uk/mp/356.jpg","M","E14000809","65819","Manchester, Withington","England","74.8","345","79.5","346","15.8","346","18.8","344","covered_by","E08000003"
"Andrew Smith","253","Oxford East","Labour","1516","2960","2798","http://sexymp.co.uk/mp/546.jpg","M","E14000873","66060","Oxford East","England","78.9","220","83.1","186","18.7","183","21.8","101","covered_by","E07000178"
"Edward Timson","254","Crewe and Nantwich","Conservative","1303","3379","2276","http://sexymp.co.uk/mp/586.jpg","M","E14000653","65572","Crewe and Nantwich","England","80.4","99","83.4","167","19.2","108","21.2","182","covered_by","E06000049"
"Peter Bone","255","Wellingborough","Conservative","1480","2998","2698","http://sexymp.co.uk/mp/61.jpg","M","E14001025","65830","Wellingborough","England","80","134.5","83.4","155","19.1","128.5","21.35","168","overlapped_by (calculated average)","E07000152,E07000156"
"John Glen","256","Salisbury","Conservative","1352","3233","2385","http://sexymp.co.uk/mp/228.jpg","M","E14000912","65889","Salisbury","England","80.4","101","83.9","108","19.3","98","21.8","104","covered_by","E06000054"
"Sajid Javid","257","Bromsgrove","Conservative","1450","3054","2637","http://sexymp.co.uk/mp/318.jpg","M","E14000605","65617","Bromsgrove","England","80.4","103","83.5","140","18.8","171","20.8","231","covered_by","E07000234"
"Andrew Murrison","258","South West Wiltshire","Conservative","1405","3042","2455","http://sexymp.co.uk/mp/450.jpg","M","E14000954","65956","South West Wiltshire","England","80.4","101","83.9","108","19.3","98","21.8","104","covered_by","E06000054"
"Stephen Phillips","259","Sleaford and North Hykeham","Conservative","1396","3236","2572","http://sexymp.co.uk/mp/481.jpg","M","E14000929","65920","Sleaford and North Hykeham","England","79.5","166.66666666666666","83.03333333333333","188.66666666666666","18.46666666666667","199.33333333333334","21.099999999999998","191.66666666666666","overlapped_by (calculated average)","E07000138,E07000139,E07000141"
"Derek Twigg","260","Halton","Labour","1457","3168","2764","http://sexymp.co.uk/mp/593.jpg","M","E14000725","65915","Halton","England","77.1","321","80.6","336","17","335","19.3","336","covered_by","E06000006"
"Lorely Burt","261","Solihull","Liberal Democrat","1547","29522","29187","http://sexymp.co.uk/mp/92.jpg","F","E14000931","65879","Solihull","England","80.7","79","84.6","41","19.4","85","22.5","31","covered_by","E08000029"
"Chris Huhne","262","Eastleigh","Liberal Democrat","1459","3111","2727","http://sexymp.co.uk/mp/305.jpg","M","E14000685","65881","Eastleigh","England","81.6","22","84.9","30","19.7","41","22.3","41","covered_by","E07000086"
"Gregory Campbell","263","East Londonderry","Democratic Unionist","1508","3088","2907","http://sexymp.co.uk/mp/99.jpg","M","N06000006","66129","East Londonderry","Northern Ireland","0","0","0","0","0","0","0","0","no match (Northern Ireland unavailable)",""
"David Laws","264","Yeovil","Liberal Democrat","1356","3578","2672","http://sexymp.co.uk/mp/351.jpg","M","E14001060","65935","Yeovil","England","80.9","64","84.4","72","19.6","59","22.1","54","covered_by","E07000189"
"Michael Fallon","265","Sevenoaks","Conservative","1439","2983","2554","http://sexymp.co.uk/mp/196.jpg","M","E14000918","65698","Sevenoaks","England","81.5","26","84.4","74","20","19","21.9","88","covered_by","E07000111"
"Paul Maynard","266","Blackpool North and Cleveleys","Conservative","1454","3124","2746","http://sexymp.co.uk/mp/391.jpg","M","E14000572","65750","Blackpool North and Cleveleys","England","76.1","303","80.9","319","17.45","278","20","290.5","overlapped_by (calculated average)","E06000009,E07000128"
"Nick Smith","267","Blaenau Gwent","Labour","1463","3160","2811","http://sexymp.co.uk/mp/551.jpg","M","W07000072","66093","Blaenau Gwent","Wales","75.7","343","79.9","345","16.5","345","18.7","346","covered_by","W06000019"
"Jim Fitzpatrick","268","Poplar and Limehouse","Labour","1464","3115","2786","http://sexymp.co.uk/mp/202.jpg","M","E14000882","65917","Poplar and Limehouse","England","77.1","324","82","283","17","333","20.2","299","covered_by","E09000030"
"David Nuttal","269","Bury North","Conservative","1400","3099","2511","http://sexymp.co.uk/mp/458.jpg","M","E14000611","66015","Bury North","England","78","270","81","326","17.8","280","19.6","325","covered_by","E08000002"
"Geoffrey Robinson","270","Coventry North West","Labour","1714","2963","3607","http://sexymp.co.uk/mp/512.jpg","M","E14000650","65575","Coventry North West","England","78.1","268","82.1","270","18.3","225","20.8","232","covered_by","E08000026"
"Peter Bottomley","271","Worthing West","Conservative","1443","3082","2670","http://sexymp.co.uk/mp/62.jpg","M","E14001055","65562","Worthing West","England","79.25","193.5","83.2","174.5","18.700000000000003","174.5","21.35","152.5","overlapped_by (calculated average)","E07000224,E07000229"
"Edward Davey","272","Kingston and Surbiton","Liberal Democrat","1519","2858","2767","http://sexymp.co.uk/mp/143.jpg","M","E14000770","65778","Kingston and Surbiton","England","81.7","23","85.15","22","20","32.5","22.4","40","overlapped_by (calculated average)","E09000021,E07000208"
"Ian Paisley","273","North Antrim","Democratic Unionist","1360","3346","2552","http://sexymp.co.uk/mp/470.jpg","M","N06000012","66135","North Antrim","Northern Ireland","0","0","0","0","0","0","0","0","no match (Northern Ireland unavailable)",""
"Mark Prisk","274","Hertford and Stortford","Conservative","1437","3043","2619","http://sexymp.co.uk/mp/488.jpg","M","E14000744","66003","Hertford and Stortford","England","81","53","84.1","95","19.4","74","21.6","122","covered_by","E07000097"
"Kevin Brennan","275","Cardiff West","Labour","1430","3255","2771","http://sexymp.co.uk/mp/69.jpg","M","W07000079","66114","Cardiff West","Wales","78.9","211.5","83.05000000000001","199","18.200000000000003","233","21.4","152","overlapped_by (calculated average)","W06000014,W06000015"
"David Mowat","276","Warrington South","Conservative","1445","3005","2625","http://sexymp.co.uk/mp/439.jpg","M","E14001018","65916","Warrington South","England","78.2","265","82","284","17.6","295","20.3","295","covered_by","E06000007"
"Mark Reckless","277","Rochester and Strood","Conservative","1453","3002","2657","http://sexymp.co.uk/mp/495.jpg","M","E14000898","66043","Rochester and Strood","England","78.5","243","82.2","268","17.7","291","20.4","277","covered_by","E06000035"
"Jacob Rees-Mogg","278","North East Somerset","Conservative","1450","3169","2788","http://sexymp.co.uk/mp/498.jpg","M","E14000846","65619","North East Somerset","England","80.6","84","84.4","65","19.4","91","21.9","89","covered_by","E06000022"
"Rory Stewart","279","Penrith and The Border","Conservative","1386","3133","2498","http://sexymp.co.uk/mp/564.jpg","M","E14000877","66081","Penrith and The Border","England","78.35","253","81.95","284","18.15","240","20.3","285","overlapped_by (calculated average)","E07000026,E07000028"
"Geoffrey Cox","280","Torridge and West Devon","Conservative","1506","2879","2753","http://sexymp.co.uk/mp/127.jpg","M","E14001000","65904","Torridge and West Devon","England","80.1","132","83.2","178","18.8","166","21.6","129","covered_by","E07000046"
"Stephen Gilbert","281","St Austell and Newquay","Liberal Democrat","1477","2900","2663","http://sexymp.co.uk/mp/223.jpg","M","E14000961","65591","St Austell and Newquay","England","79.5","179","83.5","146","19","143","21.3","160","covered_by","E06000052"
"Stewart Hosie","282","Dundee East","Scottish National Party","1487","3025","2818","http://sexymp.co.uk/mp/299.jpg","M","S14000015","14412","Dundee East","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Grant Shapps","283","Welwyn Hatfield","Conservative","1449","3017","2659","http://sexymp.co.uk/mp/531.jpg","M","E14001027","65740","Welwyn Hatfield","England","80.9","73","84.44999999999999","75.5","19.299999999999997","96","22.25","68","overlapped_by (calculated average)","E07000100,E07000104"
"Jeremy Corbyn","284","Islington North","Labour","1502","3064","2917","http://sexymp.co.uk/mp/126.jpg","M","E14000763","65937","Islington North","England","77.8","289","83.2","179","17.7","290","21.2","171","covered_by","E09000019"
"Peter Luff","285","Mid Worcestershire","Conservative","1546","2878","2908","http://sexymp.co.uk/mp/378.jpg","M","E14000818","65888","Mid Worcestershire","England","80.7","75","84.6","43","19.9","31","22.4","34","covered_by","E07000238"
"Jim McGovern","286","Dundee West","Labour","1559","2863","2941","http://sexymp.co.uk/mp/404.jpg","M","S14000016","14413","Dundee West","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Stephen Dorrell","287","Charnwood","Conservative","1388","3048","2460","http://sexymp.co.uk/mp/164.jpg","M","E14000625","65615","Charnwood","England","80.16666666666667","117.66666666666667","84.23333333333333","80.66666666666667","18.933333333333334","146","21.933333333333334","82","overlapped_by (calculated average)","E07000129,E07000130,E07000132"
"Nigel Adams","288","Selby and Ainsty","Conservative","1469","2919","2665","http://sexymp.co.uk/mp/4.jpg","M","E14000917","65842","Selby and Ainsty","England","80.6","85","83.8","121","19.3","101","21.8","105","overlapped_by (calculated average)","E07000165"
"Mark Spencer","289","Sherwood","Conservative","1408","3160","2635","http://sexymp.co.uk/mp/558.jpg","M","E14000924","65632","Sherwood","England","79.13333333333333","196.33333333333334","82.5","241","17.96666666666667","250.66666666666666","20.5","259.6666666666667","overlapped_by (calculated average)","E07000170,E07000173,E07000175"
"John Woodcock","290","Barrow and Furness","Labour Co-operative","1424","3217","2748","http://sexymp.co.uk/mp/641.jpg","M","E14000543","66006","Barrow and Furness","England","80.9","63","83.4","156","19.6","53","21.5","148","overlapped_by (calculated average)","E07000031"
"Conor Burns","291","Bournemouth West","Conservative","1525","2903","2860","http://sexymp.co.uk/mp/87.jpg","M","E14000585","65933","Bournemouth West","England","79.4","177","83.6","141","19","136.5","21.4","153","overlapped_by (calculated average)","E06000028,E06000029"
"Charles Hendry","292","Wealden","Conservative","1547","2762","2808","http://sexymp.co.uk/mp/280.jpg","M","E14001023","65961","Wealden","England","81","58","84.2","81","19.6","63","21.9","86","covered_by","E07000065"
"David Jones","293","Clwyd West","Conservative","1434","3125","2720","http://sexymp.co.uk/mp/325.jpg","M","W07000059","66100","Clwyd West","Wales","78.65","233.5","81.9","280","18.5","199","20.65","237.5","overlapped_by (calculated average)","W06000003,W06000004"
"Jonathan Lord","294","Woking","Conservative","1390","3042","2479","http://sexymp.co.uk/mp/373.jpg","M","E14001047","66039","Woking","England","81.85","13","84.9","39.5","20","25.5","22.4","37","overlapped_by (calculated average)","E07000207,E07000209"
"Andrew Percy","295","Brigg and Goole","Conservative","1442","2942","2596","http://sexymp.co.uk/mp/478.jpg","M","E14000596","66000","Brigg and Goole","England","78.94999999999999","209.5","82.85","217","18.35","223","20.9","225","overlapped_by (calculated average)","E06000011,E06000013"
"Philip Hammond","296","Runnymede and Weybridge","Conservative","1422","3015","2591","http://sexymp.co.uk/mp/257.jpg","M","E14000907","65589","Runnymede and Weybridge","England","81.6","21","84.5","61","19.8","37","22.2","48","overlapped_by (calculated average)","E07000207"
"Alok Sharma","297","Reading West","Conservative","1536","2775","2794","http://sexymp.co.uk/mp/532.jpg","M","E14000890","65982","Reading West","England","79.6","158","83.65","136","18.7","166.5","21.7","125.5","overlapped_by (calculated average)","E06000038,E06000037"
"Dennis Skinner","298","Bolsover","Labour","1551","3156","3245","http://sexymp.co.uk/mp/544.jpg","M","E14000577","65628","Bolsover","England","79.7","159","83","202","18.8","162","20.8","238","overlapped_by (calculated average)","E07000038"
"Andy Slaughter","299","Hammersmith","Labour","1664","2681","3148","http://sexymp.co.uk/mp/545.jpg","M","E14000726","65836","Hammersmith","England","79.1","213","83.3","171","18.8","174","21.5","142","covered_by","E09000013"
"Jerem Wright","300","Kenilworth and Southam","Conservative","1491","2912","2762","http://sexymp.co.uk/mp/645.jpg","M","E14000767","65968","Kenilworth and Southam","England","80.53333333333333","91","84.43333333333334","64","19.5","76","22.333333333333332","56","overlapped_by (calculated average)","E07000220,E07000221,E07000222"
"Mark Hoban","301","Fareham","Conservative","1527","2847","2845","http://sexymp.co.uk/mp/288.jpg","M","E14000699","65857","Fareham","England","80.9","61","83.9","111","19.2","112","21.7","116","covered_by","E07000087"
"Sadiq Khan","302","Tooting","Labour","1595","3006","3277","http://sexymp.co.uk/mp/340.jpg","M","E14000998","65554","Tooting","England","79.1","210","83.2","180","18.1","243","20.9","219","covered_by","E09000032"
"Crispin Blunt","303","Reigate","Conservative","1367","3190","2528","http://sexymp.co.uk/mp/59.jpg","M","E14000893","66005","Reigate","England","80.8","65","84","98","19.4","87","21.4","156","covered_by","E07000211"
"Greg Mulholland","304","Leeds North West","Liberal Democrat","1487","2832","2695","http://sexymp.co.uk/mp/441.jpg","M","E14000780","66068","Leeds North West","England","78","272","82.1","272","17.7","292","20.3","291","covered_by","E08000035"
"Neil Parish","305","Tiverton and Honiton","Conservative","1504","2836","2761","http://sexymp.co.uk/mp/471.jpg","M","E14000996","65761","Tiverton and Honiton","England","80.85","73.5","84.7","42.5","19.65","61.5","22.5","32","overlapped_by (calculated average)","E07000040,E07000042"
"John Spellar","306","Warley","Labour","1652","2820","3297","http://sexymp.co.uk/mp/556.jpg","M","E14001016","66079","Warley","England","77.85","276","82.15","256.5","17.7","273.5","20.75","236.5","overlapped_by (calculated average)","E08000027,E08000028"
"Dan Jarvis","307","Barnsley Central","Labour","1369","3555","2840","http://sexymp.co.uk/mp/317.jpg","M","E14000541","65665","Barnsley Central","England","77.8","288","81.5","311","17.6","298","19.9","317","covered_by","E08000016"
"Alan Keen","308","Feltham and Heston","Labour Co-operative","1540","3031","3103","http://sexymp.co.uk/mp/336.jpg","M","E14000701","65655","Feltham and Heston","England","79.5","178","83.3","172","18.6","199","21.6","136","covered_by","E09000018"
"Kris Hopkins","309","Keighley","Conservative","1471","2941","2749","http://sexymp.co.uk/mp/297.jpg","M","E14000766","65871","Keighley","England","77.5","310","81.5","310","17.6","301","20.2","303","covered_by","E08000032"
"Andrew Selous","310","South West Bedfordshire","Conservative","1398","3015","2534","http://sexymp.co.uk/mp/529.jpg","M","E14000949","65848","South West Bedfordshire","England","80.5","96","84","101","19.2","106","21.6","125","covered_by","E06000056"
"Graham Stuart","311","Beverley and Holderness","Conservative","1541","2803","2886","http://sexymp.co.uk/mp/570.jpg","M","E14000556","65934","Beverley and Holderness","England","79.6","168","82.9","210","18.7","186","20.8","244","covered_by","E06000011"
"Bill Wiggin","312","North Herefordshire","Conservative","1382","3257","2675","http://sexymp.co.uk/mp/624.jpg","M","E14000847","65642","North Herefordshire","England","79.7","157","83.7","124","18.9","155","22","70","covered_by","E06000019"
"Simon Wright","313","Norwich South","Liberal Democrat","1429","3004","2653","http://sexymp.co.uk/mp/646.jpg","M","E14000864","65634","Norwich South","England","80.1","129","84.1","96.5","19.65","70.5","22.299999999999997","42","overlapped_by (calculated average)","E07000148,E07000149"
"Chris Grayling","314","Epsom and Ewell","Conservative","1402","3129","2662","http://sexymp.co.uk/mp/239.jpg","M","E14000694","65803","Epsom and Ewell","England","81.5","31","84.89999999999999","42.666666666666664","19.933333333333334","39","22.23333333333333","66.66666666666667","overlapped_by (calculated average)","E07000208,E07000210,E07000211"
"Jeremy Lefroy","315","Stafford","Conservative","1380","3013","2474","http://sexymp.co.uk/mp/357.jpg","M","E14000965","66067","Stafford","England","80.19999999999999","117","83.4","157.5","19.15","117.5","21.35","156.5","overlapped_by (calculated average)","E07000196,E07000197"
"Nick de Bois","316","Enfield North","Conservative","1453","2815","2585","http://sexymp.co.uk/mp/151.jpg","M","E14000691","66050","Enfield North","England","80.5","89","84","102","19.4","80","21.8","97","covered_by","E09000010"
"Huw Irranca-Davies","317","Ogmore","Labour","1350","3581","2805","http://sexymp.co.uk/mp/311.jpg","M","W07000074","66107","Ogmore","Wales","76.66666666666667","332.6666666666667","80.93333333333334","327","17.2","323.3333333333333","19.666666666666668","325.3333333333333","overlapped_by (calculated average)","W06000012,W06000013,W06000016"
"Gavin Shuker","318","Luton South","Labour Co-operative","1429","3132","2788","http://sexymp.co.uk/mp/538.jpg","M","E14000801","66080","Luton South","England","79.25","186","83.05","188","18.6","181","21.05","198","overlapped_by (calculated average)","E06000056,E06000032"
"Peter Lilley","319","Hitchin and Harpenden","Conservative","1389","3138","2636","http://sexymp.co.uk/mp/367.jpg","M","E14000749","65724","Hitchin and Harpenden","England","80.80000000000001","78.5","84.05","119.5","19.1","121","21.65","143","overlapped_by (calculated average)","E07000099,E07000100"
"Neil Carmichael","320","Stroud","Conservative","1456","2972","2768","http://sexymp.co.uk/mp/103.jpg","M","E14000980","65858","Stroud","England","80.5","92","83.5","143","19.3","100","21.1","190","covered_by","E07000082"
"Martin Vickers","321","Cleethorpes","Conservative","1541","2777","2908","http://sexymp.co.uk/mp/602.jpg","M","E14000643","66057","Cleethorpes","England","78.1","267.5","82.35","256.5","17.9","270.5","20.65","247","overlapped_by (calculated average)","E06000012,E06000013"
"Pete Wishart","322","Perth and North Perthshire","Scottish National Party","1490","2936","2873","http://sexymp.co.uk/mp/638.jpg","M","S14000054","14451","Perth and North Perthshire","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Philip Hollobone","323","Kettering","Conservative","1571","2734","2980","http://sexymp.co.uk/mp/293.jpg","M","E14000769","66001","Kettering","England","79.2","202","82.7","229","18.2","233","21","210","covered_by","E07000153"
"Andrew Mitchell","324","Sutton Coldfield","Conservative","1466","3117","2956","http://sexymp.co.uk/mp/426.jpg","M","E14000985","65703","Sutton Coldfield","England","77.6","303","82.1","276","17.8","275","20.6","255","covered_by","E08000025"
"Steve Rotherham","325","Liverpool, Walton","Labour","1736","2443","3197","http://sexymp.co.uk/mp/515.jpg","M","E14000794","65970","Liverpool, Walton","England","76.1","341","80.2","341","16.6","343","19.2","341","covered_by","E08000012"
"Gareth Johnson","326","Dartford","Conservative","1417","3074","2728","http://sexymp.co.uk/mp/322.jpg","M","E14000659","66011","Dartford","England","81.5","26","84.4","74","20","19","21.9","88","overlapped_by (calculated average)","E07000111"
"Laurence Robertson","327","Tewkesbury","Conservative","1504","2836","2841","http://sexymp.co.uk/mp/511.jpg","M","E14000990","65976","Tewkesbury","England","79.60000000000001","159.33333333333334","83.93333333333332","107","18.766666666666666","161","21.933333333333337","79.66666666666667","overlapped_by (calculated average)","E07000078,E07000081,E07000083"
"Damian Green","328","Ashford","Conservative","1568","2664","2907","http://sexymp.co.uk/mp/241.jpg","M","E14000536","65811","Ashford","England","81.3","40","84.4","73","19.7","42","22.1","56","covered_by","E07000105"
"David Anderson","329","Blaydon","Labour","1574","2766","3051","http://sexymp.co.uk/mp/14.jpg","M","E14000574","65805","Blaydon","England","78","272","81.9","281","18","253","20","295.5","overlapped_by (calculated average)","E06000048,E08000020"
"Tim Laughton","330","East Worthing and Shoreham","Conservative","1397","2986","2591","http://sexymp.co.uk/mp/374.jpg","M","E14000682","65780","East Worthing and Shoreham","England","78.8","227","82.9","207","18.3","219","21.1","184","overlapped_by (calculated average)","E07000229"
"Stewart Jackson","331","Peterborough","Conservative","1521","2746","2845","http://sexymp.co.uk/mp/313.jpg","M","E14000878","65649","Peterborough","England","78.5","246","82.65","233","18.299999999999997","227.5","21","205.5","overlapped_by (calculated average)","E06000031,E07000010"
"Iain Duncan Smith","332","Chingford and Woodford Green","Conservative","1556","2743","2975","http://sexymp.co.uk/mp/174.jpg","M","E14000634","65721","Chingford and Woodford Green","England","79.75","153","83.7","127.5","18.95","146.5","21.65","123","overlapped_by (calculated average)","E09000026,E09000031"
"Kwasi Kwarteng","333","Spelthorne","Conservative","1419","3013","2717","http://sexymp.co.uk/mp/343.jpg","M","E14000959","65942","Spelthorne","England","80.1","127","83.4","164","19","139","21.2","181","covered_by","E07000213"
"Anne Milton","334","Guildford","Conservative","1737","23687","31469","http://sexymp.co.uk/mp/425.jpg","F","E14000719","65838","Guildford","England","82","9","85.19999999999999","20","20.25","12","22.75","20.5","overlapped_by (calculated average)","E07000209,E07000216"
"Guy Opperman","335","Hexham","Conservative","1352","3041","2471","http://sexymp.co.uk/mp/464.jpg","M","E14000746","65850","Hexham","England","78","272","81.9","281","18","253","20","295.5","overlapped_by (calculated average)","E06000048,E08000020"
"Danny Alexander","336","Inverness, Nairn, Badenoch and Strathspey","Liberal Democrat","1536","2849","3015","http://sexymp.co.uk/mp/8.jpg","M","S14000039","14435","Inverness, Nairn, Badenoch and Strathspey","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Andrew George","337","St Ives","Liberal Democrat","1402","3001","2650","http://sexymp.co.uk/mp/221.jpg","M","E14000964","65854","St Ives","England","79.5","179","83.5","146","19","143","21.3","160","covered_by","E06000052"
"Robert Goodwill","338","Scarborough and Whitby","Conservative","1478","2947","2896","http://sexymp.co.uk/mp/234.jpg","M","E14000913","65891","Scarborough and Whitby","England","77.9","287","82.2","263","18.5","205","20.7","252","covered_by","E07000168"
"Eric Joyce","339","Falkirk","Labour","1406","3058","2710","http://sexymp.co.uk/mp/332.jpg","M","S14000028","14424","Falkirk","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"David Miliband","340","South Shields","Labour","1406","4044","3592","http://sexymp.co.uk/mp/420.jpg","M","E14000944","65719","South Shields","England","76.8","331","81.2","320","16.8","339","19.9","315","covered_by","E08000023"
"John Stevenson","341","Carlisle","Conservative","1475","2962","2904","http://sexymp.co.uk/mp/561.jpg","M","E14000620","65929","Carlisle","England","78.5","244","82","281","18.4","213","20.3","286","covered_by","E07000028"
"Adrian Bailey","342","West Bromwich West","Labour Co-operative","1723","2583","3414","http://sexymp.co.uk/mp/21.jpg","M","E14001030","66047","West Bromwich West","England","76.8","330","81.3","318","17","332","20.3","293","covered_by","E08000028"
"Mike Weatherley","343","Hove","Conservative","1594","2662","3055","http://sexymp.co.uk/mp/613.jpg","M","E14000755","65691","Hove","England","78.7","235","83","194","18.3","218","21.3","168","covered_by","E06000043"
