sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country","population_total","population_male","population_female","deaths_num_total","deaths_num_male","deaths_num_female","deaths_num_infant","deaths_num_neonatal","deaths_num_perinatal","deaths_rate_crude","deaths_rate_agestd_total","deaths_rate_agestd_male","deaths_rate_agestd_female","deaths_rate_infant","deaths_rate_neonatal","deaths_rate_perinatal","match_type","matched_by"
"Chris Skidmore","36","Kingswood","Conservative","1406","3609","2207","http://sexymp.co.uk/mp/543.jpg","E14000774","66053","Kingswood","England","263400","130699","132700","2011","980","1031","5","4","12","7.6","456","538.5","380.3","1.6","1.3","3.8","covered_by","E06000025"
"Chris Leslie","37","Nottingham East","Labour Co-operative","1591","3286","2719","http://sexymp.co.uk/mp/360.jpg","E14000865","65559","Nottingham East","England","303900","153200","150700","2257","1159","1098","27","21","48","7.4","621.6","766.4","503.8","6.1","4.7","10.7","covered_by","E06000018"
"Margot James","38","Stourbridge","Conservative","1646","30296","27025","http://sexymp.co.uk/mp/314.jpg","E14000976","65609","Stourbridge","England","313300","153900","159400","2933","1458","1475","13","11","21","9.4","538.4","652.8","445.3","3.5","3","5.6","covered_by","E08000027"
"Nick Boles","39","Grantham and Stamford","Conservative","1494","3292","2364","http://sexymp.co.uk/mp/60.jpg","E14000714","65683","Grantham and Stamford","England","134100","64800","69300","1266","619","647","2","2","5","9.4","481.7","574.1","410.2","0","0","3.3","covered_by","E07000141"
"James Wharton","40","Stockton South","Conservative","1436","3403","2216","http://sexymp.co.uk/mp/616.jpg","E14000971","65908","Stockton South","England","191800","94200","97700","1662","785","877","12","10","17","8.7","577.7","658.1","511.1","4.9","4.1","7","covered_by","E06000004"
"Julian Sturdy","41","York Outer","Conservative","1487","3221","2293","http://sexymp.co.uk/mp/572.jpg","E14001062","66037","York Outer","England","197800","96300","101500","1794","894","900","8","5","13","9.1","526.5","650.8","429","3.9","2.4","6.2","covered_by","E06000014"
"Charlie Elphicke","42","Dover","Conservative","1442","3366","2227","http://sexymp.co.uk/mp/186.jpg","E14000670","65555","Dover","England","111700","54800","56900","1231","582","649","5","2","6","11","559.4","655.5","472.9","4.3","0","5.1","covered_by","E07000108"
"Andrew Stephenson","43","Pendle","Conservative","1529","3020","2301","http://sexymp.co.uk/mp/560.jpg","E14000875","65668","Pendle","England","89600","44100","45500","812","401","411","11","6","14","9.1","598.2","692.6","517.3","8.4","4.6","10.7","covered_by","E07000122"
"Simon Hart","44","Carmarthen West and South Pembrokeshire","Conservative","1466","3163","2184","http://sexymp.co.uk/mp/268.jpg","W07000066","66109","Carmarthen West and South Pembrokeshire","Wales","122600","60000","62700","1303","646","657","4","0","0","10.6","522.6","616.5","447.1","3.1","0","0","covered_by","W06000009"
"Anne Maine","45","St Albans","Conservative","1532","34704","26611","http://sexymp.co.uk/mp/386.jpg","E14000960","65715","St Albans","England","1119800","549000","570800","8708","4199","4509","53","44","107","7.8","474.1","564.5","401","3.5","2.9","7.1","covered_by","E10000015"
"William Hague","46","Richmond (Yorks)","Conservative","1559","3497","2795","http://sexymp.co.uk/mp/251.jpg","E14000895","65722","Richmond (Yorks)","England","601200","296400","304800","6049","2844","3205","19","14","35","10.1","495","579.3","425.4","3.1","2.3","5.8","covered_by","E10000023"
"Brandon Lewis","47","Great Yarmouth","Conservative","1532","3077","2368","http://sexymp.co.uk/mp/362.jpg","E14000717","65627","Great Yarmouth","England","97400","47900","49600","1120","548","572","6","5","11","11.5","590.2","701","500.5","5.4","4.5","9.9","covered_by","E07000145"
"David Morris","48","Morecambe and Lunesdale","Conservative","1435","3397","2229","http://sexymp.co.uk/mp/435.jpg","E14000825","65633","Morecambe and Lunesdale","England","137800","66600","71200","1433","694","739","7","5","12","10.4","592.7","720.5","480.2","4.4","3.2","7.6","covered_by","E07000121"
"James Duddridge","49","Rochford and Southend East","Conservative","1546","3200","2518","http://sexymp.co.uk/mp/171.jpg","E14000899","65584","Rochford and Southend East","England","551400","269333.3333333333","282066.6666666667","5096.666666666667","2396.6666666666665","2700","25.666666666666668","18.666666666666668","44.666666666666664","9.166666666666666","482.8333333333333","563.9333333333334","417.56666666666666","4.533333333333334","3.733333333333333","8.033333333333333","overlapped_by (calculated average)","E06000033,E10000012,E07000075"
"Alan Duncan","50","Rutland and Melton","Conservative","1553","3020","2401","http://sexymp.co.uk/mp/173.jpg","E14000909","65833","Rutland and Melton","England","368450","182100","186350","3073","1545","1528","12","10.5","23.5","8.25","456.9","558.7","375.1","1.6","1.35","6.9","overlapped_by (calculated average)","E10000018,E07000131"
"Jonathan Reynolds","51","Stalybridge and Hyde","Labour Co-operative","1551","3341","2654","http://sexymp.co.uk/mp/503.jpg","E14000967","65960","Stalybridge and Hyde","England","219700","107800","111900","2181","1036","1145","14","7","17","9.9","666.6","770.9","572.3","4.6","2.3","5.6","covered_by","E08000008"
