sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country","life_exp_birth_male_years","life_exp_birth_male_rank","life_exp_birth_female_years","life_exp_birth_female_rank","life_exp_65_male_years","life_exp_65_male_rank","life_exp_65_female_years","life_exp_65_female_rank","match_type","matched_by"
"David Cameron","61","Witney","Conservative","1498","4209","3264","http://sexymp.co.uk/mp/97.jpg","E14001046","65622","Witney","England","80.7","72","83.7","128","19.4","94","21.4","157","covered_by","E07000181"
"Tobias Ellwood","62","Bournemouth East","Conservative","1379","3732","2375","http://sexymp.co.uk/mp/185.jpg","E14000584","65993","Bournemouth East","England","78.6","237","83.1","190","18.4","209","21","207","covered_by","E06000028"
"Ian Murray","63","Edinburgh South","Labour","1585","3105","2733","http://sexymp.co.uk/mp/448.jpg","S14000024","14421","Edinburgh South","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Eric Ollerenshaw","64","Lancaster and Fleetwood","Conservative","1095","16107","4803","http://sexymp.co.uk/mp/462.jpg","E14000776","65568","Lancaster and Fleetwood","England","77.80000000000001","287","82","279","18","256","20.75","240","overlapped_by (calculated average)","E07000121,E07000128"
"Sam Gyimah","65","East Surrey","Conservative","1418","3418","2336","http://sexymp.co.uk/mp/250.jpg","E14000681","65856","East Surrey","England","80.8","65","84","98","19.4","87","21.4","156","overlapped_by (calculated average)","E07000211"
"Douglas Alexander","66","Paisley and Renfrewshire South","Labour","1465","4033","2988","http://sexymp.co.uk/mp/9.jpg","S14000053","14450","Paisley and Renfrewshire South","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Philip Dunne","67","Ludlow","Conservative","1548","3053","2565","http://sexymp.co.uk/mp/175.jpg","E14000799","65690","Ludlow","England","79.8","151","83.8","117","19","135","21.6","127","covered_by","E06000051"
"Helen Grant","68","Maidstone and The Weald","Conservative","1537","33183","27458","http://sexymp.co.uk/mp/237.jpg","E14000804","65936","Maidstone and The Weald","England","80.65","86.5","84.25","89","19.200000000000003","115","21.8","110.5","overlapped_by (calculated average)","E07000110,E07000116"
"Matthew Offord","69","Hendon","Conservative","1401","3832","2548","http://sexymp.co.uk/mp/461.jpg","E14000741","65754","Hendon","England","81.4","32","84.5","53","19.9","22","22.3","44","covered_by","E09000003"
"Robin Walker","70","Worcester","Conservative","1363","3675","2282","http://sexymp.co.uk/mp/605.jpg","E14001052","65577","Worcester","England","78.8","225","83.3","177","18.2","234","21.5","151","covered_by","E07000237"
"James Duddridge","71","Rochford and Southend East","Conservative","1504","3257","2572","http://sexymp.co.uk/mp/171.jpg","E14000899","65584","Rochford and Southend East","England","80.45","101.5","83.6","141.5","19.1","122.5","21.45","143","overlapped_by (calculated average)","E06000033,E07000075"
"Greg Hands","72","Chelsea and Fulham","Conservative","1488","3270","2526","http://sexymp.co.uk/mp/261.jpg","E14000629","65818","Chelsea and Fulham","England","80.6","109.5","84.55","89.5","19.8","88.5","22.35","76","overlapped_by (calculated average)","E09000013,E09000020"
"David Mowat","73","Warrington South","Conservative","1571","2991","2600","http://sexymp.co.uk/mp/439.jpg","E14001018","65916","Warrington South","England","78.2","265","82","284","17.6","295","20.3","295","covered_by","E06000007"
"Nigel Evans","74","Ribble Valley","Conservative","1499","3118","2454","http://sexymp.co.uk/mp/193.jpg","E14000894","65579","Ribble Valley","England","80.1","126","82.8","216","19.2","115","21.1","187","overlapped_by (calculated average)","E07000126"
"Justin Tomlinson","75","North Swindon","Conservative","1455","3167","2334","http://sexymp.co.uk/mp/587.jpg","E14000851","65760","North Swindon","England","79.3","196","82.7","227","18.5","204","20.9","216","covered_by","E06000030"
"John Mann","76","Bassetlaw","Labour","1534","3110","2609","http://sexymp.co.uk/mp/387.jpg","E14000546","65711","Bassetlaw","England","78.6","240","82.1","269","18","262","20.4","278","covered_by","E07000171"
"Clive Efford","77","Eltham","Labour","1503","3347","2694","http://sexymp.co.uk/mp/180.jpg","E14000690","65816","Eltham","England","78.5","247","82.2","266","17.6","304","20.5","267","covered_by","E09000011"
