sep=,
"name","ranking","constituency","party","score","won","lost","image","gender","area_gss_code","area_id","area_mapit_name","country"
"Theresa May","56","Maidenhead","Conservative","1613","32260","28361","http://sexymp.co.uk/mp/390.jpg","F","E14000803","65901","Maidenhead","England"
"George Eustice","57","Camborne and Redruth","Conservative","1411","3593","2321","http://sexymp.co.uk/mp/189.jpg","M","E14000616","65826","Camborne and Redruth","England"
"James Morris","58","Halesowen and Rowley Regis","Conservative","1426","3628","2417","http://sexymp.co.uk/mp/437.jpg","M","E14000722","65971","Halesowen and Rowley Regis","England"
"Richard Fuller","59","Bedford","Conservative","1466","3495","2495","http://sexymp.co.uk/mp/214.jpg","M","E14000552","65561","Bedford","England"
"Mark Garnier","60","Wyre Forest","Conservative","1471","3448","2507","http://sexymp.co.uk/mp/219.jpg","M","E14001058","66078","Wyre Forest","England"
"Jeremy Hunt","61","South West Surrey","Conservative","1426","3742","2530","http://sexymp.co.uk/mp/306.jpg","M","E14000953","65678","South West Surrey","England"
"Mark Lancaster","62","Milton Keynes North","Conservative","1432","3346","2314","http://sexymp.co.uk/mp/347.jpg","M","E14000821","65953","Milton Keynes North","England"
"Eric Ollerenshaw","63","Lancaster and Fleetwood","Conservative","1101","16115","4860","http://sexymp.co.uk/mp/462.jpg","M","E14000776","65568","Lancaster and Fleetwood","England"
"Dan Byles","64","North Warwickshire","Conservative","1370","3672","2277","http://sexymp.co.uk/mp/93.jpg","M","E14000854","66024","North Warwickshire","England"
"Mark Field","65","Cities of London and Westminster","Conservative","1427","3550","2451","http://sexymp.co.uk/mp/201.jpg","M","E14000639","65759","Cities of London and Westminster","England"
"Mark Francois","66","Rayleigh and Wickford","Conservative","1489","3100","2370","http://sexymp.co.uk/mp/210.jpg","M","E14000888","65795","Rayleigh and Wickford","England"
"Steve Baker","67","Wycombe","Conservative","1405","3620","2413","http://sexymp.co.uk/mp/24.jpg","M","E14001056","66010","Wycombe","England"
"Clive Efford","68","Eltham","Labour","1520","3374","2716","http://sexymp.co.uk/mp/180.jpg","M","E14000690","65816","Eltham","England"
"Smith Henry","69","Crawley","Conservative","1401","3695","2450","http://sexymp.co.uk/mp/549.jpg","M","E14000652","65781","Crawley","England"
"Brian Donohoe","70","Central Ayrshire","Labour","1472","3860","2893","http://sexymp.co.uk/mp/162.jpg","M","S14000010","14407","Central Ayrshire","Scotland"
"Mark Harper","71","Forest of Dean","Conservative","1370","3804","2396","http://sexymp.co.uk/mp/264.jpg","M","E14000705","66064","Forest of Dean","England"
"Andrea Leadsom","72","South Northamptonshire","Conservative","1809","25809","29738","http://sexymp.co.uk/mp/353.jpg","F","E14000942","65902","South Northamptonshire","England"
"Phillip Lee","73","Bracknell","Conservative","1444","3285","2364","http://sexymp.co.uk/mp/355.jpg","M","E14000586","65697","Bracknell","England"
"Julian Sturdy","74","York Outer","Conservative","1448","3277","2370","http://sexymp.co.uk/mp/572.jpg","M","E14001062","66037","York Outer","England"
"Douglas Carswell","75","Clacton","Conservative","1545","3171","2666","http://sexymp.co.uk/mp/104.jpg","M","E14000642","66030","Clacton","England"
"Stuart Andrew","76","Pudsey","Conservative","1418","3345","2306","http://sexymp.co.uk/mp/15.jpg","M","E14000886","65637","Pudsey","England"
"Richard Benyon","77","Newbury","Conservative","1417","3892","2688","http://sexymp.co.uk/mp/43.jpg","M","E14000830","65862","Newbury","England"
"David Cameron","78","Witney","Conservative","1488","4230","3293","http://sexymp.co.uk/mp/97.jpg","M","E14001046","65622","Witney","England"
"Tom Greatrix","79","Rutherglen and Hamilton West","Labour Co-operative","1544","3400","2876","http://sexymp.co.uk/mp/240.jpg","M","S14000056","14453","Rutherglen and Hamilton West","Scotland"
"Simon Hart","80","Carmarthen West and South Pembrokeshire","Conservative","1424","3220","2262","http://sexymp.co.uk/mp/268.jpg","M","W07000066","66109","Carmarthen West and South Pembrokeshire","Wales"
"Daniel Kawczynski","81","Shrewsbury and Atcham","Conservative","1385","3803","2504","http://sexymp.co.uk/mp/334.jpg","M","E14000926","65563","Shrewsbury and Atcham","England"
"Jonathan Reynolds","82","Stalybridge and Hyde","Labour Co-operative","1508","3418","2754","http://sexymp.co.uk/mp/503.jpg","M","E14000967","65960","Stalybridge and Hyde","England"
"James Wharton","83","Stockton South","Conservative","1390","3457","2307","http://sexymp.co.uk/mp/616.jpg","M","E14000971","65908","Stockton South","England"
"Hugh Robertson","84","Faversham and Mid Kent","Conservative","1456","3207","2399","http://sexymp.co.uk/mp/509.jpg","M","E14000700","65764","Faversham and Mid Kent","England"
