sep=,
"name","ranking","constituency","party","score","won","lost","image","gender","area_gss_code","area_id","area_mapit_name","country","population_total","population_male","population_female","deaths_num_total","deaths_num_male","deaths_num_female","deaths_num_infant","deaths_num_neonatal","deaths_num_perinatal","deaths_rate_crude","deaths_rate_agestd_total","deaths_rate_agestd_male","deaths_rate_agestd_female","deaths_rate_infant","deaths_rate_neonatal","deaths_rate_perinatal","match_type","matched_by"
"Steve Rotherham","325","Liverpool, Walton","Labour","1736","2443","3197","http://sexymp.co.uk/mp/515.jpg","M","E14000794","65970","Liverpool, Walton","England","465700","230400","235200","4232","2035","2197","25","19","41","9.1","674.9","787.3","573.2","4.3","3.2","6.9","covered_by","E08000012"
"Gareth Johnson","326","Dartford","Conservative","1417","3074","2728","http://sexymp.co.uk/mp/322.jpg","M","E14000659","66011","Dartford","England","1466500","717200","749200","13434","6437","6997","61","38","119","9.2","504.8","603.6","423.2","3.5","2.2","6.7","covered_by","E10000016"
"Laurence Robertson","327","Tewkesbury","Conservative","1504","2836","2841","http://sexymp.co.uk/mp/511.jpg","M","E14000990","65976","Tewkesbury","England","598300","293300","305000","5470","2656","2814","19","10","43","9.1","484.1","583.6","401.2","2.8","1.5","6.4","covered_by","E10000013"
"Damian Green","328","Ashford","Conservative","1568","2664","2907","http://sexymp.co.uk/mp/241.jpg","M","E14000536","65811","Ashford","England","118400","57400","61000","888","428","460","3","2","8","7.5","439.1","517.3","377.6","2.1","0","5.5","covered_by","E07000105"
"David Anderson","329","Blaydon","Labour","1574","2766","3051","http://sexymp.co.uk/mp/14.jpg","M","E14000574","65805","Blaydon","England","258300","126100","132150","2683.5","1310.5","1373","13.5","7.5","19.5","10.4","586.4","691.15","496","5.1","2.9","7.6","overlapped_by (calculated average)","E06000057,E08000037"
"Tim Laughton","330","East Worthing and Shoreham","Conservative","1397","2986","2591","http://sexymp.co.uk/mp/374.jpg","M","E14000682","65780","East Worthing and Shoreham","England","808900","391700","417200","8388","3832","4556","35","23","63","10.4","473.4","551.6","411.2","3.8","2.5","6.8","covered_by","E10000032"
"Stewart Jackson","331","Peterborough","Conservative","1521","2746","2845","http://sexymp.co.uk/mp/313.jpg","M","E14000878","65649","Peterborough","England","300766.6666666667","149600","151133.33333333334","2322.6666666666665","1146.6666666666667","1176","14.333333333333334","9.666666666666666","25.333333333333332","8.466666666666667","514.1666666666666","616.1333333333333","431","3.8333333333333335","2.5999999999999996","6.933333333333334","overlapped_by (calculated average)","E06000031,E10000003,E07000010"
"Iain Duncan Smith","332","Chingford and Woodford Green","Conservative","1556","2743","2975","http://sexymp.co.uk/mp/174.jpg","M","E14000634","65721","Chingford and Woodford Green","England","270550","134750","135850","1536.5","739","797.5","20.5","10.5","36","5.7","481.1","565","417.2","4.35","2.2","7.6","overlapped_by (calculated average)","E09000031,E09000026"
"Kwasi Kwarteng","333","Spelthorne","Conservative","1419","3013","2717","http://sexymp.co.uk/mp/343.jpg","M","E14000959","65942","Spelthorne","England","95900","47200","48700","867","435","432","3","2","12","9","508.9","617.9","413.3","2.4","0","9.6","covered_by","E07000213"
"Anne Milton","334","Guildford","Conservative","1737","23687","31469","http://sexymp.co.uk/mp/425.jpg","F","E14000719","65838","Guildford","England","1135400","556400","578900","9419","4408","5011","41","29","89","8.3","446.2","524","380.7","2.9","2.1","6.3","covered_by","E10000030"
"Guy Opperman","335","Hexham","Conservative","1352","3041","2471","http://sexymp.co.uk/mp/464.jpg","M","E14000746","65850","Hexham","England","258300","126100","132150","2683.5","1310.5","1373","13.5","7.5","19.5","10.4","586.4","691.15","496","5.1","2.9","7.6","overlapped_by (calculated average)","E06000057,E08000037"
"Danny Alexander","336","Inverness, Nairn, Badenoch and Strathspey","Liberal Democrat","1536","2849","3015","http://sexymp.co.uk/mp/8.jpg","M","S14000039","14435","Inverness, Nairn, Badenoch and Strathspey","Scotland","5254800","2548200","2706600","53661","25913","27748","238","159","409","10.2","640.9","765.8","539.9","4.1","2.7","6.9","covered_by","S15000001"
"Andrew George","337","St Ives","Liberal Democrat","1402","3001","2650","http://sexymp.co.uk/mp/221.jpg","M","E14000964","65854","St Ives","England","536000","259600","276400","5663","2764","2899","33","22","39","10.6","502.9","606.2","416.9","5.7","3.8","6.7","covered_by","E06000052"
"Robert Goodwill","338","Scarborough and Whitby","Conservative","1478","2947","2896","http://sexymp.co.uk/mp/234.jpg","M","E14000913","65891","Scarborough and Whitby","England","108700","52600","56200","1404","662","742","7","5","7","12.9","585.8","696.5","490.4","6.3","4.5","6.3","covered_by","E07000168"
"Eric Joyce","339","Falkirk","Labour","1406","3058","2710","http://sexymp.co.uk/mp/332.jpg","M","S14000028","14424","Falkirk","Scotland","154400","74900","79500","1548","771","777","7","5","13","10","660.3","792.8","558.3","4","2.8","7.4","covered_by","S12000014"
"David Miliband","340","South Shields","Labour","1406","4044","3592","http://sexymp.co.uk/mp/420.jpg","M","E14000944","65719","South Shields","England","148200","71600","76600","1683","818","865","3","2","13","11.4","634.2","784.2","519.6","1.8","0","7.8","covered_by","E08000023"
"John Stevenson","341","Carlisle","Conservative","1475","2962","2904","http://sexymp.co.uk/mp/561.jpg","M","E14000620","65929","Carlisle","England","107500","52500","55000","1062","493","569","5","2","6","9.9","547.1","618.1","483.4","3.8","0","4.6","covered_by","E07000028"
"Adrian Bailey","342","West Bromwich West","Labour Co-operative","1723","2583","3414","http://sexymp.co.uk/mp/21.jpg","M","E14001030","66047","West Bromwich West","England","309000","152100","156900","2775","1379","1396","33","25","56","9","610.6","749.1","501.9","6.6","5","11.1","covered_by","E08000028"
"Mike Weatherley","343","Hove","Conservative","1594","2662","3055","http://sexymp.co.uk/mp/613.jpg","M","E14000755","65691","Hove","England","273000","136200","136800","2081","978","1103","16","16","27","7.6","533.2","624","456.9","4.9","4.9","8.2","covered_by","E06000043"
"John Redwood","344","Wokingham","Conservative","1411","3026","2735","http://sexymp.co.uk/mp/496.jpg","M","E14001048","65774","Wokingham","England","154500","76550","77950","1083","537","546","7","5.5","13.5","7","453.15","532.55","385.15","3.6","2.85","7","overlapped_by (calculated average)","E06000037,E06000041"
"Jonathan Edwards","345","Carmarthen East and Dinefwr","Plaid Cymru","1379","3117","2693","http://sexymp.co.uk/mp/179.jpg","M","W07000067","66089","Carmarthen East and Dinefwr","Wales","184000","89900","94100","2052","992","1060","1","1","7","11.2","549.6","651.7","466","0","0","3.6","covered_by","W06000010"
"Ivan Lewis","346","Bury South","Labour","1615","2640","3122","http://sexymp.co.uk/mp/363.jpg","M","E14000612","65975","Bury South","England","185400","90700","94700","1693","801","892","14","8","23","9.1","592.9","685","511.7","5.5","3.1","9","covered_by","E08000002"
"Roger Gale","347","North Thanet","Conservative","1489","2800","2842","http://sexymp.co.uk/mp/215.jpg","M","E14000852","65605","North Thanet","England","1466500","717200","749200","13434","6437","6997","61","38","119","9.2","504.8","603.6","423.2","3.5","2.2","6.7","covered_by","E10000016"
"Edward Leigh","348","Gainsborough","Conservative","1538","2791","3018","http://sexymp.co.uk/mp/358.jpg","M","E14000707","65952","Gainsborough","England","714800","348300","366500","7512","3747","3765","26","15","42","10.5","531.4","631.4","447.5","3.3","1.9","5.3","covered_by","E10000019"
"Jon Cruddas","349","Dagenham and Rainham","Labour","1364","3275","2789","http://sexymp.co.uk/mp/134.jpg","M","E14000657","65985","Dagenham and Rainham","England","212450","102700","109800","1661.5","794","867.5","13","9.5","30.5","7.65","532.25","657.7","436","3.9499999999999997","2.9","9","overlapped_by (calculated average)","E09000002,E09000016"
"John Howell","350","Henley","Conservative","1546","2725","2992","http://sexymp.co.uk/mp/302.jpg","M","E14000742","65786","Henley","England","654800","324100","330700","5058","2476","2582","31","22","54","7.7","476.2","566.8","400.2","3.6","2.6","6.3","covered_by","E10000025"
"Nick Gibb","351","Bognor Regis and Littlehampton","Conservative","1499","2743","2842","http://sexymp.co.uk/mp/222.jpg","M","E14000576","65841","Bognor Regis and Littlehampton","England","149800","71500","78300","1997","956","1041","6","3","13","13.3","501.1","610.1","415.9","3.8","1.9","8.2","covered_by","E07000224"
"Gavin Barwell","352","Croydon Central","Conservative","1451","3011","2925","http://sexymp.co.uk/mp/33.jpg","M","E14000654","65603","Croydon Central","England","364800","176900","187900","2365","1145","1220","23","13","43","6.5","513","606.6","435.6","4","2.3","7.5","covered_by","E09000008"
"Simon Kirby","353","Brighton, Kemptown","Conservative","1387","3085","2736","http://sexymp.co.uk/mp/341.jpg","M","E14000597","65844","Brighton, Kemptown","England","299266.6666666667","145866.66666666666","153366.66666666666","3090","1434","1656","13.666666666666666","11.666666666666666","23","10","498.5333333333333","591.6999999999999","422.4666666666667","4.333333333333333","3.7000000000000006","7.033333333333332","overlapped_by (calculated average)","E06000043,E10000011,E07000063"
"Peter Aldous","354","Waveney","Conservative","1533","2872","3122","http://sexymp.co.uk/mp/7.jpg","M","E14001022","66004","Waveney","England","115400","56000","59300","1386","671","715","5","3","8","12","511.1","612.1","423.1","4","2.4","6.4","covered_by","E07000206"
"David Gauke","355","South West Hertfordshire","Conservative","1411","2931","2703","http://sexymp.co.uk/mp/220.jpg","M","E14000951","65596","South West Hertfordshire","England","1119800","549000","570800","8708","4199","4509","53","44","107","7.8","474.1","564.5","401","3.5","2.9","7.1","covered_by","E10000015"
"David Ward","356","Bradford East","Liberal Democrat","1376","2998","2619","http://sexymp.co.uk/mp/609.jpg","M","E14000587","65694","Bradford East","England","523100","257399","265700","4222","2026","2196","56","37","86","8.1","597.5","704.7","513.1","6.7","4.5","10.3","covered_by","E08000032"
"Simon Hughes","357","Bermondsey and Old Southwark","Liberal Democrat","1537","2746","3012","http://sexymp.co.uk/mp/304.jpg","M","E14000553","65689","Bermondsey and Old Southwark","England","288700","143000","145700","1340","700","640","25","22","51","4.6","560.1","686.2","458.3","4.9","4.3","10","covered_by","E09000028"
"Jack Lopresti","358","Filton and Bradley Stoke","Conservative","1325","3123","2524","http://sexymp.co.uk/mp/372.jpg","M","E14000702","65865","Filton and Bradley Stoke","England","263400","130699","132700","2011","980","1031","5","4","12","7.6","456","538.5","380.3","1.6","1.3","3.8","covered_by","E06000025"
"Barry Sheerman","359","Huddersfield","Labour Co-operative","1578","2713","3141","http://sexymp.co.uk/mp/534.jpg","M","E14000756","65624","Huddersfield","England","423000","208900","214100","3609","1750","1859","37","28","49","8.5","576.8","688.4","484","6.4","4.8","8.4","covered_by","E08000034"
"Pauline Latham","360","Mid Derbyshire","Conservative","1720","24262","32894","http://sexymp.co.uk/mp/349.jpg","F","E14000814","66007","Mid Derbyshire","England","313575","154350","159250","2895","1421.5","1473.5","12.5","9","19.75","9","518.8000000000001","622.7","432.2","3.45","2.175","4.625","overlapped_by (calculated average)","E06000015,E07000032,E10000007,E07000036"
"Stephen McPartland","361","Stevenage","Conservative","1503","2757","2940","http://sexymp.co.uk/mp/411.jpg","M","E14000968","65571","Stevenage","England","1119800","549000","570800","8708","4199","4509","53","44","107","7.8","474.1","564.5","401","3.5","2.9","7.1","covered_by","E10000015"
"Robert Walter","362","North Dorset","Conservative","1458","2779","2800","http://sexymp.co.uk/mp/608.jpg","M","E14000839","65702","North Dorset","England","413800","201700","212100","4623","2251","2372","11","6","18","11.2","429.3","511","361.2","3","1.6","4.9","covered_by","E10000009"
"Marcus Jones","363","Nuneaton","Conservative","1436","2784","2750","http://sexymp.co.uk/mp/329.jpg","M","E14000868","65663","Nuneaton","England","546600","269600","277000","4823","2371","2452","28","21","46","8.8","495.1","593.6","415.4","4.5","3.3","7.3","covered_by","E10000031"
"Laura Sandys","364","South Thanet","Conservative","1715","23362","32184","http://sexymp.co.uk/mp/525.jpg","F","E14000948","65829","South Thanet","England","1466500","717200","749200","13434","6437","6997","61","38","119","9.2","504.8","603.6","423.2","3.5","2.2","6.7","covered_by","E10000016"
"Glyn Davies","365","Montgomeryshire","Conservative","1545","2662","3050","http://sexymp.co.uk/mp/148.jpg","M","W07000063","66111","Montgomeryshire","Wales","133100","65800","67300","1426","718","708","3","3","12","10.7","488.6","579.6","413.1","2.4","2.4","9.7","covered_by","W06000023"
"Philip Davies","366","Shipley","Conservative","1462","2919","3007","http://sexymp.co.uk/mp/149.jpg","M","E14000925","65959","Shipley","England","523100","257399","265700","4222","2026","2196","56","37","86","8.1","597.5","704.7","513.1","6.7","4.5","10.3","covered_by","E08000032"
"Tom Harris","367","Glasgow South","Labour","1709","2478","3405","http://sexymp.co.uk/mp/267.jpg","M","S14000034","14430","Glasgow South","Scotland","598800","290600","308300","6403","3201","3202","45","33","71","10.7","840.5","1080.6","661.7","5.9","4.3","9.2","covered_by","S12000046"
"Ian Liddell-Grainger","368","Bridgwater and West Somerset","Conservative","1562","2636","3083","http://sexymp.co.uk/mp/365.jpg","M","E14000595","65620","Bridgwater and West Somerset","England","531600","259300","272200","5366","2519","2847","23","19","43","10.1","467","550.3","396.1","4","3.3","7.4","covered_by","E10000027"
"Ian Murray","369","Edinburgh South","Labour","1354","3133","2779","http://sexymp.co.uk/mp/448.jpg","M","S14000024","14421","Edinburgh South","Scotland","495400","239700","255600","4232","2013","2219","22","15","35","8.5","590.1","712.9","492.2","4","2.7","6.3","covered_by","S12000036"
"Andrew Robathan","370","South Leicestershire","Conservative","1504","2677","2933","http://sexymp.co.uk/mp/507.jpg","M","E14000940","66034","South Leicestershire","England","651200","321700","329500","5455","2732","2723","22","19","41","8.4","473.7","574.1","390.8","3.2","2.7","5.9","covered_by","E10000018"
"Tristram Hunt","371","Stoke-on-Trent Central","Labour","1374","3796","3480","http://sexymp.co.uk/mp/307.jpg","M","E14000972","65710","Stoke-on-Trent Central","England","248700","123900","124800","2311","1135","1176","32","25","36","9.3","633.4","730.6","550.4","8.4","6.6","9.4","covered_by","E06000021"
"Andrew Turner","372","Isle of Wight","Conservative","1508","2764","3047","http://sexymp.co.uk/mp/591.jpg","M","E14000762","65791","Isle of Wight","England","138400","67500","70900","1601","745","856","5","3","12","11.6","483.3","565.1","415.3","3.8","2.3","9","covered_by","E06000046"
"Tim Yeo","373","South Suffolk","Conservative","1456","2770","2863","http://sexymp.co.uk/mp/647.jpg","M","E14000946","65614","South Suffolk","England","730100","360900","369200","6880","3337","3543","35","21","54","9.4","465.2","547.2","395.1","4.2","2.5","6.4","covered_by","E10000029"
"Chuka Umunna","374","Streatham","Labour","1395","3533","3383","http://sexymp.co.uk/mp/596.jpg","M","E14000978","66042","Streatham","England","304500","151800","152700","1355","766","589","31","20","46","4.5","547.4","707","411.6","6.5","4.2","9.6","covered_by","E09000022"
"Peter Hain","375","Neath","Labour","1506","2925","3270","http://sexymp.co.uk/mp/252.jpg","M","W07000069","66082","Neath","Wales","189300","93200","96100","2007.5","1000","1007.5","9.5","6.5","16.5","10.75","616.85","749.5","510.05","4.3","3","7.6","overlapped_by (calculated average)","W06000011,W06000012"
"John Hemmings","376","Birmingham, Yardley","Liberal Democrat","1711","2506","3521","http://sexymp.co.uk/mp/277.jpg","M","E14000568","65707","Birmingham, Yardley","England","1074300","528800","545400","7985","3926","4059","143","107","193","7.4","579.2","694.3","480.8","8.2","6.1","11","covered_by","E08000025"
"Tom Blenkinsop","377","Middlesbrough South and East Cleveland","Labour","1473","2995","3250","http://sexymp.co.uk/mp/56.jpg","M","E14000820","65657","Middlesbrough South and East Cleveland","England","136800","66700","70100","1382","670","712","5","2.5","13","10.100000000000001","632.45","739.95","542.6500000000001","2.25","1","6.75","overlapped_by (calculated average)","E06000002,E06000003"
"Stephen Metcalfe","378","South Basildon and East Thurrock","Conservative","1445","2852","2996","http://sexymp.co.uk/mp/418.jpg","M","E14000933","65962","South Basildon and East Thurrock","England","576633.3333333334","281600","295000","5137.666666666667","2427.3333333333335","2710.3333333333335","25","17.666666666666668","49","8.133333333333333","515.9333333333334","601.5666666666667","445.9666666666667","2.8666666666666667","1.9333333333333333","7.1000000000000005","overlapped_by (calculated average)","E06000034,E10000012,E07000066"
"Paul Blomfield","379","Sheffield Central","Labour","1637","2445","3236","http://sexymp.co.uk/mp/57.jpg","M","E14000919","65957","Sheffield Central","England","551800","272500","279200","4719","2288","2431","35","22","50","8.6","555.6","660.5","469","5.2","3.2","7.3","covered_by","E08000019"
"Chris Bryant","380","Rhondda","Labour","1457","3143","3374","http://sexymp.co.uk/mp/81.jpg","M","W07000052","66092","Rhondda","Wales","234400","114600","119800","2451","1209","1242","11","6","14","10.5","658.9","793.5","545.3","3.7","2","4.6","covered_by","W06000016"
"Michael Gove","381","Surrey Heath","Conservative","1482","2822","3157","http://sexymp.co.uk/mp/235.jpg","M","E14000983","65747","Surrey Heath","England","1135400","556400","578900","9419","4408","5011","41","29","89","8.3","446.2","524","380.7","2.9","2.1","6.3","covered_by","E10000030"
"Andrew Bingham","382","High Peak","Conservative","1493","2625","2991","http://sexymp.co.uk/mp/49.jpg","M","E14000748","66052","High Peak","England","91000","44800","46200","817","387","430","2","2","0","9","524.9","615.4","446.8","0","0","0","covered_by","E07000037"
"Austin Mitchell","383","Great Grimsby","Labour","1691","2410","3441","http://sexymp.co.uk/mp/427.jpg","M","E14000716","65600","Great Grimsby","England","159700","78300","81400","1564","736","828","6","5","10","9.8","568.2","647.8","499.3","3","2.5","4.9","covered_by","E06000012"
"Mark Williams","384","Ceredigion","Liberal Democrat","1405","2816","2868","http://sexymp.co.uk/mp/627.jpg","M","W07000064","66110","Ceredigion","Wales","75300","37500","37800","774","386","388","2","2","0","10.3","515.9","622","424","0","0","0","covered_by","W06000008"
"Dawn Primarolo","385","Bristol South","Labour","1353","29180","27798","http://sexymp.co.uk/mp/487.jpg","F","E14000601","66031","Bristol South","England","428100","213400","214700","3290","1595","1695","20","17","45","7.7","556.2","668.5","464.2","3","2.5","6.7","covered_by","E06000023"
"Ben Bradshaw","386","Exeter","Labour","1395","3260","3320","http://sexymp.co.uk/mp/64.jpg","M","E14000698","66033","Exeter","England","117100","57000","60100","962","425","537","8","6","8","8.2","503.8","575.3","454.2","5.5","4.1","5.4","covered_by","E07000041"
"James Paice","387","South East Cambridgeshire","Conservative","1460","2805","3137","http://sexymp.co.uk/mp/469.jpg","M","E14000937","65997","South East Cambridgeshire","England","622300","310500","311800","4550","2220","2330","24","17","45","7.3","440.6","520.2","377.4","3.2","2.3","6","covered_by","E10000003"
"Bob Ainsworth","388","Coventry North East","Labour","1657","2597","3657","http://sexymp.co.uk/mp/6.jpg","M","E14000649","65636","Coventry North East","England","316900","157800","159100","2630","1303","1327","27","17","34","8.3","577.2","689.7","479.4","5.6","3.5","7","covered_by","E08000026"
"Mark Durkan","389","Foyle","Social Democratic and Labour","1558","2576","3278","http://sexymp.co.uk/mp/176.jpg","M","N06000008","66131","Foyle","Northern Ireland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","no match (no polygons)",""
"Edward Miliband","390","Doncaster North","Labour","1584","3552","4658","http://sexymp.co.uk/mp/421.jpg","M","E14000669","65672","Doncaster North","England","302500","149200","153300","2872","1457","1415","21","18","36","9.5","583.5","705.9","484.9","5.6","4.8","9.5","covered_by","E08000017"
"Alex Cunningham","391","Stockton North","Labour","1558","2579","3298","http://sexymp.co.uk/mp/136.jpg","M","E14000970","65641","Stockton North","England","191800","94200","97700","1662","785","877","12","10","17","8.7","577.7","658.1","511.1","4.9","4.1","7","covered_by","E06000004"
"Yasmin Qureshi","392","Bolton South East","Labour","1334","30046","28602","http://sexymp.co.uk/mp/491.jpg","F","E14000579","65712","Bolton South East","England","277300","137000","140300","2498","1207","1291","20","13","42","9","605.8","704.9","518.3","5.2","3.4","10.8","covered_by","E08000001"
"Fiona ODonnell","393","East Lothian","Labour","1377","28544","29046","http://sexymp.co.uk/mp/460.jpg","F","S14000020","14417","East Lothian","Scotland","98200","47100","51000","966","454","512","5","3","9","9.8","580.8","672.4","504.8","4.4","2.7","7.9","covered_by","S12000010"
"Kenneth Clarke","394","Rushcliffe","Conservative","1522","2769","3425","http://sexymp.co.uk/mp/113.jpg","M","E14000908","65736","Rushcliffe","England","111200","54800","56500","940","425","515","5","3","8","8.4","445.8","495.9","401.5","4.4","2.6","7","covered_by","E07000176"
"Julie Elliot","395","Sunderland Central","Labour","1253","32061","27417","http://sexymp.co.uk/mp/181.jpg","F","E14000982","65586","Sunderland Central","England","275300","133900","141500","2732","1333","1399","9","3","21","9.9","619.8","740.4","521.7","2.8","0.9","6.4","covered_by","E08000024"
"William Bain","396","Glasgow North East","Labour","1591","2507","3405","http://sexymp.co.uk/mp/22.jpg","M","S14000032","14428","Glasgow North East","Scotland","351700","170500","181250","3676.5","1833","1843.5","22.5","16.5","37","9.899999999999999","669.3","845.75","536","2.95","2.15","6.199999999999999","overlapped_by (calculated average)","S12000045,S12000046"
"Mike Penning","397","Hemel Hempstead","Conservative","1548","2539","3280","http://sexymp.co.uk/mp/476.jpg","M","E14000739","65967","Hemel Hempstead","England","145300","71500","73800","1125","566","559","5","4","10","7.7","461.1","569.7","366.3","2.7","2.2","5.4","covered_by","E07000096"
"Alistair Carmichael","398","Orkney and Shetland","Liberal Democrat","1552","2547","3321","http://sexymp.co.uk/mp/102.jpg","M","S14000051","14448","Orkney and Shetland","Scotland","20200","10000","10200","209","100","109","0","0","0","10.4","567.5","642","493.7","0","0","0","covered_by","S12000023"
"Michelle Gildernew","399","Fermanagh and South Tyrone","Sinn Fein","1582","25080","33769","http://sexymp.co.uk/mp/224.jpg","F","N06000007","66130","Fermanagh and South Tyrone","Northern Ireland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","no match (no polygons)",""
"Kerry McCarthey","400","Bristol East","Labour","1243","34206","29028","http://sexymp.co.uk/mp/394.jpg","F","E14000599","65839","Bristol East","England","428100","213400","214700","3290","1595","1695","20","17","45","7.7","556.2","668.5","464.2","3","2.5","6.7","covered_by","E06000023"
"Siobhain McDonagh","401","Mitcham and Morden","Labour","1240","33147","28033","http://sexymp.co.uk/mp/399.jpg","F","E14000823","66038","Mitcham and Morden","England","200500","99000","101500","1171","566","605","15","9","26","5.8","480.8","572.2","407.3","4.2","2.5","7.3","covered_by","E09000024"
"Diana Johnson","402","Kingston upon Hull North","Labour","1306","29883","28258","http://sexymp.co.uk/mp/321.jpg","F","E14000772","65618","Kingston upon Hull North","England","256100","128300","127800","2358","1189","1169","13","8","23","9.2","672","808.1","555.5","3.4","2.1","6","covered_by","E06000010"
"Hazel Blears","403","Salford and Eccles","Labour","1386","28047","29918","http://sexymp.co.uk/mp/55.jpg","F","E14000911","65688","Salford and Eccles","England","234500","117200","117300","2131","1023","1108","17","10","22","9.1","661.6","770.4","573.5","4.8","2.8","6.2","covered_by","E08000006"
"Geraint Davies","404","Swansea West","Labour Co-operative","1613","2398","3397","http://sexymp.co.uk/mp/147.jpg","M","W07000047","66118","Swansea West","Wales","238700","118000","120700","2414","1207","1207","13","8","21","10.1","586.6","717.3","480.6","4.8","2.9","7.7","covered_by","W06000011"
"Lynne Featherstone","405","Hornsey and Wood Green","Liberal Democrat","1207","36200","29493","http://sexymp.co.uk/mp/199.jpg","F","E14000752","65883","Hornsey and Wood Green","England","255500","126800","128699","1107","574","533","15","10","26","4.3","492.2","593","408.9","3.5","2.4","6.1","covered_by","E09000014"
"Yvette Cooper","406","Normanton, Pontefract and Castleford","Labour","1293","30557","29096","http://sexymp.co.uk/mp/125.jpg","F","E14000836","65918","Normanton, Pontefract and Castleford","England","326400","160200","166300","3136","1505","1631","29","19","42","9.6","599.1","704.5","507.4","7.1","4.6","10.1","covered_by","E08000036"
"James Brokenshire","407","Old Bexley and Sidcup","Conservative","1406","2717","3061","http://sexymp.co.uk/mp/72.jpg","M","E14000869","65653","Old Bexley and Sidcup","England","232800","112100","120700","1847","895","952","9","4","13","7.9","481.9","588.8","398","2.8","1.3","4.1","covered_by","E09000004"
"Rushanara Ali","408","Bethnal Green and Bow","Labour","1197","36550","29868","http://sexymp.co.uk/mp/11.jpg","F","E14000555","65853","Bethnal Green and Bow","England","256000","132100","123900","1013","570","443","32","29","57","4","609.1","757.7","469.5","7","6.4","12.4","covered_by","E09000030"
"Meg Hillier","409","Hackney South and Shoreditch","Labour Co-operative","1265","30910","28454","http://sexymp.co.uk/mp/285.jpg","F","E14000721","65752","Hackney South and Shoreditch","England","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","no match",""
"Simon Reevell","410","Dewsbury","Conservative","1434","2640","3101","http://sexymp.co.uk/mp/499.jpg","M","E14000666","65746","Dewsbury","England","423000","208900","214100","3609","1750","1859","37","28","49","8.5","576.8","688.4","484","6.4","4.8","8.4","covered_by","E08000034"
"Alison Seabeck","411","Plymouth, Moor View","Labour","1342","28305","29352","http://sexymp.co.uk/mp/528.jpg","F","E14000879","65974","Plymouth, Moor View","England","256600","127200","129400","2236","1096","1140","18","14","40","8.7","548.6","658.7","453.3","5.5","4.3","12.1","covered_by","E06000026"
"Lindsay Hoyle","412","Chorley","Labour","1626","2383","3510","http://sexymp.co.uk/mp/303.jpg","M","E14000637","65792","Chorley","England","107600","53900","53700","967","447","520","4","4","13","9","562.5","631.1","500.1","3.1","3.1","10.1","covered_by","E07000118"
"Barbara Keeley","413","Worsley and Eccles South","Labour","1163","37660","29008","http://sexymp.co.uk/mp/335.jpg","F","E14001054","65757","Worsley and Eccles South","England","234500","117200","117300","2131","1023","1108","17","10","22","9.1","661.6","770.4","573.5","4.8","2.8","6.2","covered_by","E08000006"
"Joan Ruddock","414","Lewisham, Deptford","Labour","1256","30801","28067","http://sexymp.co.uk/mp/520.jpg","F","E14000789","66041","Lewisham, Deptford","England","276900","135600","141300","1607","768","839","22","15","52","5.8","580.8","686","493.4","4.5","3.1","10.5","covered_by","E09000023"
"Alison McGovern","415","Wirral South","Labour","1214","34712","29493","http://sexymp.co.uk/mp/403.jpg","F","E14001043","65847","Wirral South","England","319800","153800","166000","3370","1589","1781","17","15","34","10.5","567.6","683.7","467.3","4.5","3.9","8.9","covered_by","E08000015"
"Caroline Flint","416","Don Valley","Labour","1101","46722","31848","http://sexymp.co.uk/mp/204.jpg","F","E14000667","65553","Don Valley","England","302500","149200","153300","2872","1457","1415","21","18","36","9.5","583.5","705.9","484.9","5.6","4.8","9.5","covered_by","E08000017"
"Louise Ellman","417","Liverpool, Riverside","Labour Co-operative","1280","29783","28479","http://sexymp.co.uk/mp/184.jpg","F","E14000793","66066","Liverpool, Riverside","England","465700","230400","235200","4232","2035","2197","25","19","41","9.1","674.9","787.3","573.2","4.3","3.2","6.9","covered_by","E08000012"
"Debbie Abrahams","418","Oldham East and Saddleworth","Labour","1176","36076","28855","http://sexymp.co.uk/mp/3.jpg","F","E14000870","65903","Oldham East and Saddleworth","England","225200","110300","114800","2004","969","1035","22","19","29","8.9","631.5","751.1","529.7","6.7","5.8","8.8","covered_by","E08000004"
"Jenny Chapman","419","Darlington","Labour","1203","34929","29736","http://sexymp.co.uk/mp/107.jpg","F","E14000658","65802","Darlington","England","105600","51500","54100","985","488","497","6","4","9","9.3","541.7","654.7","453.5","4.6","3.1","6.9","covered_by","E06000005"
"John Randall","420","Uxbridge and South Ruislip","Conservative","1552","2556","3543","http://sexymp.co.uk/mp/493.jpg","M","E14001007","65613","Uxbridge and South Ruislip","England","275500","136800","138700","1780","866","914","13","8","30","6.5","481.9","556.5","418.9","3","1.8","6.8","covered_by","E09000017"
"Margaret Ritchie","421","South Down","Social Democratic and Labour","1570","2414","3428","http://sexymp.co.uk/mp/506.jpg","M","N06000015","66138","South Down","Northern Ireland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","no match (no polygons)",""
"Ed Balls","422","Morley and Outwood","Labour Co-operative","1546","2730","3786","http://sexymp.co.uk/mp/27.jpg","M","E14000826","65735","Morley and Outwood","England","5288200","2602000","2686200","48527","23466","25061","327","228","538","9.2","566.2","670","480.6","4.9","3.4","8.1","covered_by","E15000003"
