sep=,
"name","ranking","constituency","party","score","won","lost","image","gender","area_gss_code","area_id","area_mapit_name","country","population_total","population_male","population_female","deaths_num_total","deaths_num_male","deaths_num_female","deaths_num_infant","deaths_num_neonatal","deaths_num_perinatal","deaths_rate_crude","deaths_rate_agestd_total","deaths_rate_agestd_male","deaths_rate_agestd_female","deaths_rate_infant","deaths_rate_neonatal","deaths_rate_perinatal","match_type","matched_by"
"Charlie Elphicke","38","Dover","Conservative","1477","3420","2318","http://sexymp.co.uk/mp/186.jpg","M","E14000670","65555","Dover","England","111700","54800","56900","1231","582","649","5","2","6","11","559.4","655.5","472.9","4.3","0","5.1","covered_by","E07000108"
"Rob Wilson","39","Reading East","Conservative","1506","3369","2400","http://sexymp.co.uk/mp/634.jpg","M","E14000889","65973","Reading East","England","155100","77300","77800","1031.5","497.5","534","9.5","8","19.5","6.65","484.35","561.1","414.29999999999995","4.1","3.55","8.7","overlapped_by (calculated average)","E06000038,E06000041"
"Andrew Griffiths","40","Burton","Conservative","1488","3273","2300","http://sexymp.co.uk/mp/247.jpg","M","E14000610","65708","Burton","England","113900","56600","57300","998","461","537","10","8","12","8.8","543.4","613.5","476.1","6.7","5.4","8","covered_by","E07000193"
"Stephen Barclay","41","North East Cambridgeshire","Conservative","1433","3539","2262","http://sexymp.co.uk/mp/29.jpg","M","E14000842","66063","North East Cambridgeshire","England","246625","122625","124000","1911.25","942","969.25","12.5","8.5","21.5","8.35","499.85","601.75","418.65","4.45","3.0749999999999997","7.425000000000001","overlapped_by (calculated average)","E06000031,E10000003,E07000010,E07000009"
"Alec Shelbrooke","42","Elmet and Rothwell","Conservative","1453","3542","2366","http://sexymp.co.uk/mp/535.jpg","M","E14000689","65677","Elmet and Rothwell","England","750700","368000","382700","6362","3065","3297","43","33","98","8.5","578.9","682.4","493.6","4.2","3.3","9.6","covered_by","E08000035"
"Chris White","43","Warwick and Leamington","Conservative","1442","3440","2254","http://sexymp.co.uk/mp/618.jpg","M","E14001019","65608","Warwick and Leamington","England","137700","68700","69000","1106","547","559","7","4","7","8","469","571.5","381.4","4.5","2.6","4.5","covered_by","E07000222"
"Tobias Ellwood","44","Bournemouth East","Conservative","1424","3754","2404","http://sexymp.co.uk/mp/185.jpg","M","E14000584","65993","Bournemouth East","England","183500","91600","91900","1908","912","996","8","7","14","10.4","534.3","647.1","434.1","3.4","3","6","covered_by","E06000028"
"Adam Afriyie","45","Windsor","Conservative","1534","3378","2595","http://sexymp.co.uk/mp/5.jpg","M","E14001042","65552","Windsor","England","133166.66666666666","66200","66966.66666666667","873","416.3333333333333","456.6666666666667","10.333333333333334","6.333333333333333","16.666666666666668","6.533333333333334","497.4666666666667","573.9333333333334","431.0333333333333","4.633333333333334","2.433333333333333","8.133333333333333","overlapped_by (calculated average)","E06000036,E06000039,E06000040"
"Malcom Wicks","46","Croydon North","Labour","1560","2884","2300","http://sexymp.co.uk/mp/623.jpg","M","E14000655","65867","Croydon North","England","364800","176900","187900","2365","1145","1220","23","13","43","6.5","513","606.6","435.6","4","2.3","7.5","covered_by","E09000008"
"Cheryl Gillan","47","Chesham and Amersham","Conservative","1681","29498","27712","http://sexymp.co.uk/mp/225.jpg","F","E14000631","65801","Chesham and Amersham","England","506600","249000","257600","3793","1863","1930","20","16","58","7.5","447.5","536","374.1","3.3","2.6","9.4","covered_by","E10000002"
"James Duddridge","48","Rochford and Southend East","Conservative","1549","3285","2598","http://sexymp.co.uk/mp/171.jpg","M","E14000899","65584","Rochford and Southend East","England","551400","269333.3333333333","282066.6666666667","5096.666666666667","2396.6666666666665","2700","25.666666666666668","18.666666666666668","44.666666666666664","9.166666666666666","482.8333333333333","563.9333333333334","417.56666666666666","4.533333333333334","3.733333333333333","8.033333333333333","overlapped_by (calculated average)","E06000033,E10000012,E07000075"
"Sheryll Murray","49","South East Cornwall","Conservative","1726","27793","27813","http://sexymp.co.uk/mp/449.jpg","F","E14000938","65684","South East Cornwall","England","536000","259600","276400","5663","2764","2899","33","22","39","10.6","502.9","606.2","416.9","5.7","3.8","6.7","covered_by","E06000052"
"Oliver Heald","50","North East Hertfordshire","Conservative","1548","3076","2450","http://sexymp.co.uk/mp/273.jpg","M","E14000845","65840","North East Hertfordshire","England","1119800","549000","570800","8708","4199","4509","53","44","107","7.8","474.1","564.5","401","3.5","2.9","7.1","covered_by","E10000015"
"George Hollinberry","51","Meon Valley","Conservative","1477","3393","2434","http://sexymp.co.uk/mp/292.jpg","M","E14000811","65772","Meon Valley","England","1322100","647500","674600","11397","5389","6008","50","30","81","8.6","454.5","524.8","396.7","3.3","2","5.3","covered_by","E10000014"
"Dominic Raab","52","Esher and Walton","Conservative","1415","3740","2418","http://sexymp.co.uk/mp/492.jpg","M","E14000697","66062","Esher and Walton","England","131400","63700","67700","1055","499","556","7","3","11","8","442","519.8","381.5","3.7","1.6","5.8","covered_by","E07000207"
"Tracey Crouch","53","Chatham and Aylesford","Conservative","1598","34272","29576","http://sexymp.co.uk/mp/133.jpg","F","E14000626","66075","Chatham and Aylesford","England","617500","302633.3333333333","314833.3333333333","5460","2623","2837","26.333333333333332","17","50","8.166666666666666","509.5","604.1999999999999","431.3","3.766666666666667","2.7000000000000006","6.333333333333333","overlapped_by (calculated average)","E06000035,E10000016,E07000115"
"Jackie Doyle-Price","54","Thurrock","Conservative","1651","29064","26875","http://sexymp.co.uk/mp/168.jpg","F","E14000995","65919","Thurrock","England","158300","78100","80100","1142","552","590","4","3","13","7.2","547.4","652.6","461.4","1.7","1.3","5.4","covered_by","E06000034"
"Margot James","55","Stourbridge","Conservative","1612","31401","27615","http://sexymp.co.uk/mp/314.jpg","F","E14000976","65609","Stourbridge","England","313300","153900","159400","2933","1458","1475","13","11","21","9.4","538.4","652.8","445.3","3.5","3","5.6","covered_by","E08000027"
"Theresa May","56","Maidenhead","Conservative","1613","32260","28361","http://sexymp.co.uk/mp/390.jpg","F","E14000803","65901","Maidenhead","England","150000","74200","75800","1092.5","512.5","580","7.5","6","15.5","7.300000000000001","443","506.95000000000005","387.45","4.1","3.3","8.45","overlapped_by (calculated average)","E06000041,E06000040"
"George Eustice","57","Camborne and Redruth","Conservative","1411","3593","2321","http://sexymp.co.uk/mp/189.jpg","M","E14000616","65826","Camborne and Redruth","England","536000","259600","276400","5663","2764","2899","33","22","39","10.6","502.9","606.2","416.9","5.7","3.8","6.7","covered_by","E06000052"
"James Morris","58","Halesowen and Rowley Regis","Conservative","1426","3628","2417","http://sexymp.co.uk/mp/437.jpg","M","E14000722","65971","Halesowen and Rowley Regis","England","311150","153000","158150","2854","1418.5","1435.5","23","18","38.5","9.2","574.5","700.95","473.6","5.05","4","8.35","overlapped_by (calculated average)","E08000027,E08000028"
"Richard Fuller","59","Bedford","Conservative","1466","3495","2495","http://sexymp.co.uk/mp/214.jpg","M","E14000552","65561","Bedford","England","157800","77500","80300","1269","606","663","19","11","18","8","507.5","587.1","441.1","9.1","5.3","8.6","covered_by","E06000055"
"Mark Garnier","60","Wyre Forest","Conservative","1471","3448","2507","http://sexymp.co.uk/mp/219.jpg","M","E14001058","66078","Wyre Forest","England","98000","48300","49700","976","482","494","3","3","9","10","519.9","617.2","435.1","2.9","2.9","8.5","covered_by","E07000239"
"Jeremy Hunt","61","South West Surrey","Conservative","1426","3742","2530","http://sexymp.co.uk/mp/306.jpg","M","E14000953","65678","South West Surrey","England","121800","59400","62400","1050","473","577","6","5","8","8.6","407","465.8","358","4.6","3.9","6.2","covered_by","E07000216"
"Mark Lancaster","62","Milton Keynes North","Conservative","1432","3346","2314","http://sexymp.co.uk/mp/347.jpg","M","E14000821","65953","Milton Keynes North","England","249900","123600","126300","1552","763","789","12","9","30","6.2","538.2","644.6","453.6","3.1","2.3","7.6","covered_by","E06000042"
