sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country","population_total","population_male","population_female","deaths_num_total","deaths_num_male","deaths_num_female","deaths_num_infant","deaths_num_neonatal","deaths_num_perinatal","deaths_rate_crude","deaths_rate_agestd_total","deaths_rate_agestd_male","deaths_rate_agestd_female","deaths_rate_infant","deaths_rate_neonatal","deaths_rate_perinatal","match_type","matched_by"
"David Laws","55","Yeovil","Liberal Democrat","1473","3567","2640","http://sexymp.co.uk/mp/351.jpg","E14001060","65935","Yeovil","England","162100","79600","82500","1611","741","870","8","7","15","9.9","455.4","522","397.8","4.5","4","8.5","covered_by","E07000189"
"James Wharton","56","Stockton South","Conservative","1405","3439","2271","http://sexymp.co.uk/mp/616.jpg","E14000971","65908","Stockton South","England","191800","94200","97700","1662","785","877","12","10","17","8.7","577.7","658.1","511.1","4.9","4.1","7","covered_by","E06000004"
"Tracey Crouch","57","Chatham and Aylesford","Conservative","1576","34067","29456","http://sexymp.co.uk/mp/133.jpg","E14000626","66075","Chatham and Aylesford","England","617500","302633.3333333333","314833.3333333333","5460","2623","2837","26.333333333333332","17","50","8.166666666666666","509.5","604.1999999999999","431.3","3.766666666666667","2.7000000000000006","6.333333333333333","overlapped_by (calculated average)","E06000035,E10000016,E07000115"
"Jon Ashworth","58","Leicester South","Labour","1565","3040","2599","http://sexymp.co.uk/mp/17.jpg","E14000783","65604","Leicester South","England","329600","163100","166600","2330","1185","1145","40","28","0","7.1","595.4","725.4","486.7","7.5","5.3","0","covered_by","E06000016"
"Daniel Kawczynski","59","Shrewsbury and Atcham","Conservative","1395","3785","2473","http://sexymp.co.uk/mp/334.jpg","E14000926","65563","Shrewsbury and Atcham","England","307100","152200","154900","2987","1395","1592","10","7","14","9.7","485.3","555","425.4","3.5","2.4","4.8","covered_by","E06000051"
"Jessica Lee","60","Erewash","Conservative","1588","31330","27621","http://sexymp.co.uk/mp/354.jpg","E14000695","65743","Erewash","England","112200","54900","57300","974","467","507","3","2","0","8.7","491.6","576.3","420.5","2.3","0","0","covered_by","E07000036"
"David Cameron","61","Witney","Conservative","1498","4209","3264","http://sexymp.co.uk/mp/97.jpg","E14001046","65622","Witney","England","105400","51900","53500","923","437","486","5","2","6","8.8","465.5","531.8","409.7","3.8","0","4.5","covered_by","E07000181"
"Tobias Ellwood","62","Bournemouth East","Conservative","1379","3732","2375","http://sexymp.co.uk/mp/185.jpg","E14000584","65993","Bournemouth East","England","183500","91600","91900","1908","912","996","8","7","14","10.4","534.3","647.1","434.1","3.4","3","6","covered_by","E06000028"
"Ian Murray","63","Edinburgh South","Labour","1585","3105","2733","http://sexymp.co.uk/mp/448.jpg","S14000024","14421","Edinburgh South","Scotland","495400","239700","255600","4232","2013","2219","22","15","35","8.5","590.1","712.9","492.2","4","2.7","6.3","covered_by","S12000036"
"Eric Ollerenshaw","64","Lancaster and Fleetwood","Conservative","1095","16107","4803","http://sexymp.co.uk/mp/462.jpg","E14000776","65568","Lancaster and Fleetwood","England","1171600","575400","596100","11676","5661","6015","74","48","116","10","579.4","683.7","490.2","5.4","3.5","8.4","covered_by","E10000017"
"Sam Gyimah","65","East Surrey","Conservative","1418","3418","2336","http://sexymp.co.uk/mp/250.jpg","E14000681","65856","East Surrey","England","1135400","556400","578900","9419","4408","5011","41","29","89","8.3","446.2","524","380.7","2.9","2.1","6.3","covered_by","E10000030"
"Douglas Alexander","66","Paisley and Renfrewshire South","Labour","1465","4033","2988","http://sexymp.co.uk/mp/9.jpg","S14000053","14450","Paisley and Renfrewshire South","Scotland","170700","81800","88800","1838","916","922","6","5","19","10.8","686.2","841.9","565.3","3.3","2.7","10.3","covered_by","S12000038"
"Philip Dunne","67","Ludlow","Conservative","1548","3053","2565","http://sexymp.co.uk/mp/175.jpg","E14000799","65690","Ludlow","England","307100","152200","154900","2987","1395","1592","10","7","14","9.7","485.3","555","425.4","3.5","2.4","4.8","covered_by","E06000051"
"Helen Grant","68","Maidstone and The Weald","Conservative","1537","33183","27458","http://sexymp.co.uk/mp/237.jpg","E14000804","65936","Maidstone and The Weald","England","1466500","717200","749200","13434","6437","6997","61","38","119","9.2","504.8","603.6","423.2","3.5","2.2","6.7","covered_by","E10000016"
"Matthew Offord","69","Hendon","Conservative","1401","3832","2548","http://sexymp.co.uk/mp/461.jpg","E14000741","65754","Hendon","England","357500","173400","184100","2305","1038","1267","19","13","33","6.4","437.8","502","385.1","3.5","2.4","6","covered_by","E09000003"
"Robin Walker","70","Worcester","Conservative","1363","3675","2282","http://sexymp.co.uk/mp/605.jpg","E14001052","65577","Worcester","England","98700","48600","50100","738","365","373","5","5","10","7.5","503.3","615.6","418.3","3.8","3.8","7.5","covered_by","E07000237"
"James Duddridge","71","Rochford and Southend East","Conservative","1504","3257","2572","http://sexymp.co.uk/mp/171.jpg","E14000899","65584","Rochford and Southend East","England","551400","269333.3333333333","282066.6666666667","5096.666666666667","2396.6666666666665","2700","25.666666666666668","18.666666666666668","44.666666666666664","9.166666666666666","482.8333333333333","563.9333333333334","417.56666666666666","4.533333333333334","3.733333333333333","8.033333333333333","overlapped_by (calculated average)","E06000033,E10000012,E07000075"
"Greg Hands","72","Chelsea and Fulham","Conservative","1488","3270","2526","http://sexymp.co.uk/mp/261.jpg","E14000629","65818","Chelsea and Fulham","England","170350","83600","86750","875.5","446.5","429","9","7.5","17","5.1","493.6","597.6","404.9","3.6999999999999997","3.05","7.1","overlapped_by (calculated average)","E09000013,E09000020"
"David Mowat","73","Warrington South","Conservative","1571","2991","2600","http://sexymp.co.uk/mp/439.jpg","E14001018","65916","Warrington South","England","202700","100500","102200","1747","856","891","13","12","23","8.6","576.1","681","488","5.4","5","9.6","covered_by","E06000007"
"Nigel Evans","74","Ribble Valley","Conservative","1499","3118","2454","http://sexymp.co.uk/mp/193.jpg","E14000894","65579","Ribble Valley","England","1171600","575400","596100","11676","5661","6015","74","48","116","10","579.4","683.7","490.2","5.4","3.5","8.4","covered_by","E10000017"
