sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country"
"Andy Burnham","80","Leigh","Labour","1548","3314","2713","http://sexymp.co.uk/mp/86.jpg","E14000785","65978","Leigh","England"
"Nic Dakin","81","Scunthorpe","Labour","1646","2856","2673","http://sexymp.co.uk/mp/140.jpg","E14000914","66027","Scunthorpe","England"
"Jon Ashworth","82","Leicester South","Labour","1575","2977","2541","http://sexymp.co.uk/mp/17.jpg","E14000783","65604","Leicester South","England"
"Graham Evans","83","Weaver Vale","Conservative","1601","2940","2600","http://sexymp.co.uk/mp/191.jpg","E14001024","65769","Weaver Vale","England"
"Eleanor Laing","84","Epping Forest","Conservative","1491","36120","27253","http://sexymp.co.uk/mp/344.jpg","E14000693","66044","Epping Forest","England"
"Maria Miller","85","Basingstoke","Conservative","1491","34569","26088","http://sexymp.co.uk/mp/423.jpg","E14000545","65623","Basingstoke","England"
"David Cameron","86","Witney","Conservative","1507","4150","3209","http://sexymp.co.uk/mp/97.jpg","E14001046","65622","Witney","England"
"Eric Joyce","87","Falkirk","Labour","1598","2964","2615","http://sexymp.co.uk/mp/332.jpg","S14000028","14424","Falkirk","Scotland"
"Graeme Morris","88","Livingston","Labour","1739","2748","2880","http://sexymp.co.uk/mp/433.jpg","S14000044","14440","Livingston","Scotland"
"Julian Brazier","89","Canterbury","Conservative","1568","2954","2502","http://sexymp.co.uk/mp/68.jpg","E14000619","65878","Canterbury","England"
"Russell Brown","90","Dumfries and Galloway","Labour","1597","3018","2657","http://sexymp.co.uk/mp/77.jpg","S14000013","14410","Dumfries and Galloway","Scotland"
"Joseph Johnson","91","Orpington","Conservative","1401","3608","2351","http://sexymp.co.uk/mp/323.jpg","E14000872","65682","Orpington","England"
"Tim Laughton","92","East Worthing and Shoreham","Conservative","1578","2924","2515","http://sexymp.co.uk/mp/374.jpg","E14000682","65780","East Worthing and Shoreham","England"
"Adam Afriyie","93","Windsor","Conservative","1489","3324","2516","http://sexymp.co.uk/mp/5.jpg","E14001042","65552","Windsor","England"
"Brian Donohoe","94","Central Ayrshire","Labour","1479","3731","2782","http://sexymp.co.uk/mp/162.jpg","S14000010","14407","Central Ayrshire","Scotland"
"Chris Evans","95","Islwyn","Labour Co-operative","1375","4375","2727","http://sexymp.co.uk/mp/190.jpg","W07000077","66097","Islwyn","Wales"
