sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country","life_exp_birth_male_years","life_exp_birth_male_rank","life_exp_birth_female_years","life_exp_birth_female_rank","life_exp_65_male_years","life_exp_65_male_rank","life_exp_65_female_years","life_exp_65_female_rank","match_type","matched_by"
"Alan Duncan","50","Rutland and Melton","Conservative","1553","3020","2401","http://sexymp.co.uk/mp/173.jpg","E14000909","65833","Rutland and Melton","England","80.3","105","84.8","31","19.4","86","22.4","35","overlapped_by (calculated average)","E07000131"
"Jonathan Reynolds","51","Stalybridge and Hyde","Labour Co-operative","1551","3341","2654","http://sexymp.co.uk/mp/503.jpg","E14000967","65960","Stalybridge and Hyde","England","76.3","339","80.6","334","17","336","19.1","342","covered_by","E08000008"
"Caroline Dinenage","52","Gosport","Conservative","1470","38319","26987","http://sexymp.co.uk/mp/154.jpg","E14000713","65928","Gosport","England","80.9","61","83.9","111","19.2","112","21.7","116","overlapped_by (calculated average)","E07000087"
"Stuart Andrew","53","Pudsey","Conservative","1445","3293","2239","http://sexymp.co.uk/mp/15.jpg","E14000886","65637","Pudsey","England","78","272","82.1","272","17.7","292","20.3","291","covered_by","E08000035"
"Nick Hurd","54","Ruislip, Northwood and Pinner","Conservative","1429","3490","2308","http://sexymp.co.uk/mp/310.jpg","E14000906","65681","Ruislip, Northwood and Pinner","England","80.95","75","84.55","79.5","19.85","81","22.45","74.5","overlapped_by (calculated average)","E09000015,E09000017"
"Jeremy Browne","55","Taunton Deane","Liberal Democrat","1535","3080","2420","http://sexymp.co.uk/mp/78.jpg","E14000988","65767","Taunton Deane","England","79.8","152","83.8","119","18.9","158","21.3","166","covered_by","E07000190"
"Chris Kelly","56","Dudley South","Conservative","1377","3918","2362","http://sexymp.co.uk/mp/337.jpg","E14000672","66054","Dudley South","England","78.9","222","83","195","18.4","215","21.2","180","covered_by","E08000027"
"Robert Halfon","57","Harlow","Conservative","1438","3599","2432","http://sexymp.co.uk/mp/253.jpg","E14000729","65875","Harlow","England","80.2","114","83.8","123","19.3","103","21.5","143","overlapped_by (calculated average)","E07000072"
"Jeremy Hunt","58","South West Surrey","Conservative","1424","3679","2427","http://sexymp.co.uk/mp/306.jpg","E14000953","65678","South West Surrey","England","81.9","13","85.1","22","20.3","10","22.9","15","covered_by","E07000216"
"Jake Berry","59","Rossendale and Darwen","Conservative","1381","3729","2276","http://sexymp.co.uk/mp/47.jpg","E14000902","66019","Rossendale and Darwen","England","77.05","316.5","81.25","316","17.299999999999997","320.5","19.65","322.5","overlapped_by (calculated average)","E06000008,E07000125"
"Mark Prisk","60","Hertford and Stortford","Conservative","1593","2974","2546","http://sexymp.co.uk/mp/488.jpg","E14000744","66003","Hertford and Stortford","England","81","53","84.1","95","19.4","74","21.6","122","covered_by","E07000097"
"Caroline Spelman","61","Meriden","Conservative","1533","34254","26936","http://sexymp.co.uk/mp/557.jpg","E14000812","65932","Meriden","England","80.7","79","84.6","41","19.4","85","22.5","31","covered_by","E08000029"
"Stephen Twigg","62","Liverpool, West Derby","Labour Co-operative","1573","3130","2605","http://sexymp.co.uk/mp/594.jpg","E14000796","65766","Liverpool, West Derby","England","76.1","341","80.2","341","16.6","343","19.2","341","covered_by","E08000012"
"Steve Brine","63","Winchester","Conservative","1395","3657","2288","http://sexymp.co.uk/mp/71.jpg","E14001041","65921","Winchester","England","81.8","16.5","85.4","17","19.799999999999997","35","22.75","25","overlapped_by (calculated average)","E07000086,E07000094"
"Zac Goldsmith","64","Richmond Park","Conservative","1372","4032","2422","http://sexymp.co.uk/mp/232.jpg","E14000896","65598","Richmond Park","England","81.55000000000001","28","85.35","18","19.65","52.5","22.75","33","overlapped_by (calculated average)","E09000021,E09000027"
"Anne Marie Morris","65","Newton Abbot","Conservative","1622","29746","26547","http://sexymp.co.uk/mp/434.jpg","E14000835","65828","Newton Abbot","England","80.1","133","84","107","18.9","157","21.9","85","covered_by","E07000045"
"Chris Heaton-Harris","66","Daventry","Conservative","1549","2893","2341","http://sexymp.co.uk/mp/276.jpg","E14000660","66025","Daventry","England","81.1","69","84.05000000000001","96","19.65","57.5","22","78","overlapped_by (calculated average)","E07000155,E07000156"
"Graham Jones","67","Hyndburn","Labour","1497","3390","2536","http://sexymp.co.uk/mp/326.jpg","E14000758","65899","Hyndburn","England","77.6","296","81.6","303","17.2","324","19.9","313","overlapped_by (calculated average)","E07000125"
"Mel Stride","68","Central Devon","Conservative","1472","3129","2253","http://sexymp.co.uk/mp/567.jpg","E14000623","65749","Central Devon","England","80.425","107.5","84.475","62.5","19.349999999999998","97.5","22.125","69.25","overlapped_by (calculated average)","E07000040,E07000042,E07000045,E07000047"
"Hugh Robertson","69","Faversham and Mid Kent","Conservative","1480","3159","2309","http://sexymp.co.uk/mp/509.jpg","E14000700","65764","Faversham and Mid Kent","England","79.6","168","83.05000000000001","190","18.5","204.5","20.950000000000003","215.5","overlapped_by (calculated average)","E07000110,E07000113"
"Gareth Thomas","70","Harrow West","Labour Co-operative","1613","3050","2703","http://sexymp.co.uk/mp/582.jpg","E14000732","65796","Harrow West","England","82","8","85.6","10","20.9","1","23.4","4","covered_by","E09000015"
"Stephen Williams","71","Bristol West","Liberal Democrat","1512","3141","2415","http://sexymp.co.uk/mp/629.jpg","E14000602","65574","Bristol West","England","78.3","253","83","206","17.9","268","21.1","193","covered_by","E06000023"
"Simon Danczuk","72","Rochdale","Labour","1591","3044","2626","http://sexymp.co.uk/mp/141.jpg","E14000897","65843","Rochdale","England","76.8","329","80.8","331","17.4","315","19.8","319","covered_by","E08000005"
"Mike Freer","73","Finchley and Golders Green","Conservative","1554","2948","2416","http://sexymp.co.uk/mp/212.jpg","E14000703","65938","Finchley and Golders Green","England","81.4","32","84.5","53","19.9","22","22.3","44","covered_by","E09000003"
"Ben Walker","74","Wyre and Preston North","Conservative","1509","3101","2380","http://sexymp.co.uk/mp/606.jpg","E14001057","65695","Wyre and Preston North","England","77.80000000000001","289","81.4","311","18","258.5","20.4","276.5","overlapped_by (calculated average)","E07000123,E07000128"
"Nicky Morgan","75","Loughborough","Conservative","1516","34650","26913","http://sexymp.co.uk/mp/432.jpg","E14000797","65785","Loughborough","England","79.6","165","83.6","136","18.6","188","21.5","139","covered_by","E07000130"
"Alec Shelbrooke","76","Elmet and Rothwell","Conservative","1408","3472","2262","http://sexymp.co.uk/mp/535.jpg","E14000689","65677","Elmet and Rothwell","England","78","272","82.1","272","17.7","292","20.3","291","covered_by","E08000035"
"John Glen","77","Salisbury","Conservative","1463","3184","2285","http://sexymp.co.uk/mp/228.jpg","E14000912","65889","Salisbury","England","80.4","101","83.9","108","19.3","98","21.8","104","covered_by","E06000054"
