sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country"
"Jessica Lee","60","Erewash","Conservative","1588","31330","27621","http://sexymp.co.uk/mp/354.jpg","E14000695","65743","Erewash","England"
"David Cameron","61","Witney","Conservative","1498","4209","3264","http://sexymp.co.uk/mp/97.jpg","E14001046","65622","Witney","England"
"Tobias Ellwood","62","Bournemouth East","Conservative","1379","3732","2375","http://sexymp.co.uk/mp/185.jpg","E14000584","65993","Bournemouth East","England"
"Ian Murray","63","Edinburgh South","Labour","1585","3105","2733","http://sexymp.co.uk/mp/448.jpg","S14000024","14421","Edinburgh South","Scotland"
"Eric Ollerenshaw","64","Lancaster and Fleetwood","Conservative","1095","16107","4803","http://sexymp.co.uk/mp/462.jpg","E14000776","65568","Lancaster and Fleetwood","England"
"Sam Gyimah","65","East Surrey","Conservative","1418","3418","2336","http://sexymp.co.uk/mp/250.jpg","E14000681","65856","East Surrey","England"
"Douglas Alexander","66","Paisley and Renfrewshire South","Labour","1465","4033","2988","http://sexymp.co.uk/mp/9.jpg","S14000053","14450","Paisley and Renfrewshire South","Scotland"
"Philip Dunne","67","Ludlow","Conservative","1548","3053","2565","http://sexymp.co.uk/mp/175.jpg","E14000799","65690","Ludlow","England"
"Helen Grant","68","Maidstone and The Weald","Conservative","1537","33183","27458","http://sexymp.co.uk/mp/237.jpg","E14000804","65936","Maidstone and The Weald","England"
"Matthew Offord","69","Hendon","Conservative","1401","3832","2548","http://sexymp.co.uk/mp/461.jpg","E14000741","65754","Hendon","England"
"Robin Walker","70","Worcester","Conservative","1363","3675","2282","http://sexymp.co.uk/mp/605.jpg","E14001052","65577","Worcester","England"
"James Duddridge","71","Rochford and Southend East","Conservative","1504","3257","2572","http://sexymp.co.uk/mp/171.jpg","E14000899","65584","Rochford and Southend East","England"
"Greg Hands","72","Chelsea and Fulham","Conservative","1488","3270","2526","http://sexymp.co.uk/mp/261.jpg","E14000629","65818","Chelsea and Fulham","England"
"David Mowat","73","Warrington South","Conservative","1571","2991","2600","http://sexymp.co.uk/mp/439.jpg","E14001018","65916","Warrington South","England"
"Nigel Evans","74","Ribble Valley","Conservative","1499","3118","2454","http://sexymp.co.uk/mp/193.jpg","E14000894","65579","Ribble Valley","England"
"Justin Tomlinson","75","North Swindon","Conservative","1455","3167","2334","http://sexymp.co.uk/mp/587.jpg","E14000851","65760","North Swindon","England"
"John Mann","76","Bassetlaw","Labour","1534","3110","2609","http://sexymp.co.uk/mp/387.jpg","E14000546","65711","Bassetlaw","England"
"Clive Efford","77","Eltham","Labour","1503","3347","2694","http://sexymp.co.uk/mp/180.jpg","E14000690","65816","Eltham","England"
"Stephen Barclay","78","North East Cambridgeshire","Conservative","1362","3516","2235","http://sexymp.co.uk/mp/29.jpg","E14000842","66063","North East Cambridgeshire","England"
"Andrew Bridgen","79","North West Leicestershire","Conservative","1604","3049","2830","http://sexymp.co.uk/mp/70.jpg","E14000858","65776","North West Leicestershire","England"
"Gordon Marsden","80","Blackpool South","Labour","1525","3192","2665","http://sexymp.co.uk/mp/388.jpg","E14000573","65679","Blackpool South","England"
"Chris White","81","Warwick and Leamington","Conservative","1372","3419","2226","http://sexymp.co.uk/mp/618.jpg","E14001019","65608","Warwick and Leamington","England"
"Malcom Wicks","82","Croydon North","Labour","1494","2854","2274","http://sexymp.co.uk/mp/623.jpg","E14000655","65867","Croydon North","England"
"Robert Buckland","83","South Swindon","Conservative","1488","2995","2366","http://sexymp.co.uk/mp/83.jpg","E14000947","65800","South Swindon","England"
"Barry Gardiner","84","Brent North","Labour","1602","3071","2855","http://sexymp.co.uk/mp/217.jpg","E14000592","65595","Brent North","England"
"William Hague","85","Richmond (Yorks)","Conservative","1494","3557","2844","http://sexymp.co.uk/mp/251.jpg","E14000895","65722","Richmond (Yorks)","England"
"Dai Harvard","86","Merthyr Tydfil and Rhymney","Labour","1613","2968","2799","http://sexymp.co.uk/mp/271.jpg","W07000071","66086","Merthyr Tydfil and Rhymney","Wales"
"Jeremy Hunt","87","South West Surrey","Conservative","1387","3712","2489","http://sexymp.co.uk/mp/306.jpg","E14000953","65678","South West Surrey","England"
"Andrew Rosindell","88","Romford","Conservative","1510","3049","2497","http://sexymp.co.uk/mp/514.jpg","E14000900","66077","Romford","England"
"David Ruttley","89","Macclesfield","Conservative","1478","3178","2482","http://sexymp.co.uk/mp/523.jpg","E14000802","65896","Macclesfield","England"
"Stephen Dorrell","90","Charnwood","Conservative","1492","3035","2434","http://sexymp.co.uk/mp/164.jpg","E14000625","65615","Charnwood","England"
"Richard Fuller","91","Bedford","Conservative","1417","3477","2470","http://sexymp.co.uk/mp/214.jpg","E14000552","65561","Bedford","England"
"Mel Stride","92","Central Devon","Conservative","1429","3161","2293","http://sexymp.co.uk/mp/567.jpg","E14000623","65749","Central Devon","England"
"Julian Sturdy","93","York Outer","Conservative","1423","3259","2343","http://sexymp.co.uk/mp/572.jpg","E14001062","66037","York Outer","England"
"Zac Goldsmith","94","Richmond Park","Conservative","1335","4062","2492","http://sexymp.co.uk/mp/232.jpg","E14000896","65598","Richmond Park","England"
"Chris Huhne","95","Eastleigh","Liberal Democrat","1549","3083","2691","http://sexymp.co.uk/mp/305.jpg","E14000685","65881","Eastleigh","England"
"Alan Keen","96","Feltham and Heston","Labour Co-operative","1679","2990","3077","http://sexymp.co.uk/mp/336.jpg","E14000701","65655","Feltham and Heston","England"
"David Lidington","97","Aylesbury","Conservative","1535","2958","2533","http://sexymp.co.uk/mp/366.jpg","E14000538","65739","Aylesbury","England"
"Julian Brazier","98","Canterbury","Conservative","1526","3011","2548","http://sexymp.co.uk/mp/68.jpg","E14000619","65878","Canterbury","England"
"Kevin Brennan","99","Cardiff West","Labour","1527","3226","2729","http://sexymp.co.uk/mp/69.jpg","W07000079","66114","Cardiff West","Wales"
"Stephen Crabb","100","Preseli Pembrokeshire","Conservative","1470","3233","2518","http://sexymp.co.uk/mp/128.jpg","W07000065","66102","Preseli Pembrokeshire","Wales"
"Robert Flello","101","Stoke-on-Trent South","Labour","1559","3072","2727","http://sexymp.co.uk/mp/203.jpg","E14000974","65770","Stoke-on-Trent South","England"
"Jim Murphy","102","East Renfrewshire","Labour","1551","3223","2839","http://sexymp.co.uk/mp/446.jpg","S14000021","14418","East Renfrewshire","Scotland"
"David Burrowes","103","Enfield, Southgate","Conservative","1428","3269","2391","http://sexymp.co.uk/mp/89.jpg","E14000692","65567","Enfield, Southgate","England"
"Jeffrey Donaldson","104","Lagan Valley","Democratic Unionist","1723","2760","3011","http://sexymp.co.uk/mp/161.jpg","N06000009","66132","Lagan Valley","Northern Ireland"
"Francis Maude","105","Horsham","Conservative","1553","2915","2577","http://sexymp.co.uk/mp/389.jpg","E14000753","65717","Horsham","England"
